face,component,expected_count,expected_order,expected_relief,source,comparison,rotation_evidence,status,review_note
front,2.5-inch drive carriers,10,top 0 2 4 6 8; bottom 1 3 5 7 9,separate recessed bays and protruding carrier handles,https://cloudninjas.com/products/dell-poweredge-r620-server,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,drive carrier vent apertures,40,four per carrier,open/recessed,https://cloudninjas.com/products/dell-poweredge-r620-server,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,drive bay status light pairs,10,one vertical pair at each carrier left edge,flush lens,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,control strip,1,device-left before bay 0/1,slightly recessed black panel,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,DELL factory mark,1,top of control strip,flush print,https://www.itcreations.com/product/144161,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,PowerEdge R620 model mark,1,below DELL,flush print,https://www.itcreations.com/product/144161,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,power button and green ring,1,below model mark,recess plus raised lens,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,NMI/system ID/diagnostic indicators,4,vertical factory sequence,flush/recessed,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,mini USB 2.0,1,bottom of control strip,recessed,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,front rack latch ears,2,physical left and right,separate projecting geometry,source/user-lock/row-4-r620-front-enlarged.png,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,rack-ear through holes,2,one primary opening per latch assembly,true open geometry,source/user-lock/row-4-r620-front-enlarged.png,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,bezel,0,absent,N/A,source/user-lock/row-4-r620-front-enlarged.png,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
front,optical drive/LCD/VGA/full-size USB/vFlash,0,absent on 10-drive face,N/A,https://i.dell.com/sites/content/shared-content/data-sheets/en/documents/dell-poweredge-r620-technical-guide.pdf,qa/rotation-review-20260827/final/comparisons/front.png,qa/rotation-review-20260827/final/rotation/,PASS,Matched count/order/side/position and source-locked appearance in both final GLBs; reviewed in Three.js and Babylon.js rotation/load evidence.
