local_path,source_url,accessed_at,claimed_model,variant,face_or_angle,authority,visual_origin,configuration_findings,inspection_role,limitations,status
source/originals/user-config-lock-screenshot.png,user-provided,2026-08-23,HPE ProLiant DL360 Gen10,4LFF,row-4 front+rear,user-lock,official-render-derivative,"four carrier fronts; no bezel; locked rear with quad+quad RJ45, serial, iLO, USB, VGA, dual AC PSU",binding configuration lock,"thumbnail resolution; no side/top/bottom or small labels",ACCEPT
source/pdf-pages/quickspecs-p04.png,https://www.hpe.com/psnow/doc/a00008159enw,2026-08-23,HPE ProLiant DL360 Gen10,4LFF,front/top angle,official,official-render,"standard shown 4LFF; four carriers; blank ODD/display kit; SID/control cluster",binding front geometry/material support,"numbered callouts; perspective",ACCEPT
source/pdf-pages/quickspecs-p05.png,https://www.hpe.com/psnow/doc/a00008159enw,2026-08-23,HPE ProLiant DL360 Gen10,all chassis internal top,official,official-render,"type-a Smart Array; primary+secondary risers; two PSUs; dual CPU; seven fans",assembly/controller support,"internal; not an exterior texture",ACCEPT
source/pdf-pages/quickspecs-p06.png,https://www.hpe.com/psnow/doc/a00008159enw,2026-08-23,HPE ProLiant DL360 Gen10,locked embedded-LOM rear,rear near-orthographic,official,official-render,"quad 1GbE FlexibleLOM; quad 331i; serial; iLO; 2 USB; VGA; slot 3; dual 500W 94% AC",primary binding rear identity/style,"numbered callouts",ACCEPT
source/originals/hpe-user-guide-front-4lff.png,https://support.hpe.com/hpesc/public/docDisplay?docId=a00105399en_us&docLocale=en_US&page=GUID-A907F1AD-6041-4CD5-9C29-47DF3AC366A9.html,2026-08-23,HPE ProLiant DL360 Gen10,4LFF,front orthographic,official,technical-diagram,"four LFF bays and exact control/blank identities",binding geometry support,"line art only",ACCEPT
source/originals/hpe-user-guide-rear-panel.png,https://support.hpe.com/hpesc/public/docDisplay?docId=a00105399en_us&docLocale=en_US&page=GUID-CCF447DF-671D-4F37-9C1A-B88D67163C92.html,2026-08-23,HPE ProLiant DL360 Gen10,common rear,rear orthographic,official,technical-diagram,"exact port/slot/PSU families and order",binding rear geometry support,"line art; optional states require screenshot/QuickSpecs cross-check",ACCEPT
source/third-party/etb-tech-4lff-angle.jpg,https://www.etb-tech.com/hpe-proliant-dl360-gen10-4lff-1-x-bronze-3106-1-7ghz-8-core-32gb-s100i-ilo5-standard-svr-dl360g10-002.html,2026-08-23,HPE ProLiant DL360 Gen10,4LFF,front-right/top angle,secondary,real-photograph,"exact 4LFF body, right ear, right side seam/studs, top and carrier envelope",primary right-side and photographic material reference,"empty carrier labels; rear not visible; webpage Browser blocked",ACCEPT
source/third-party/era-4lff-01-900x2000.png,https://retail.era.ca/products/hpe-proliant-dl360-gen10-1u-3-5-1x-gold-6138-32gb-ddr4-ram-e208i-a-sr-gen10-10g-2x500w,2026-08-23,HPE ProLiant DL360 Gen10,P19765-B21 4LFF,top/front angle,secondary,real-photograph,"exact 4LFF top cover, latch, seams, vents, wear, labels, front ears",primary top and left reconstruction material reference,"rear/network configuration differs; perspective",ACCEPT
source/third-party/era-4lff-02-2000x900.png,https://retail.era.ca/products/hpe-proliant-dl360-gen10-1u-3-5-1x-gold-6138-32gb-ddr4-ram-e208i-a-sr-gen10-10g-2x500w,2026-08-23,HPE ProLiant DL360 Gen10,P19765-B21 4LFF,rear/top angle,secondary,real-photograph,"dual 500W PSU mechanics and exact chassis edge",PSU/top support,"NC rear/SFP28 differs; seller shipping straps present",ACCEPT_LIMITED
source/third-party/era-4lff-06-2000x901.png,https://retail.era.ca/products/hpe-proliant-dl360-gen10-1u-3-5-1x-gold-6138-32gb-ddr4-ram-e208i-a-sr-gen10-10g-2x500w,2026-08-23,HPE ProLiant DL360 Gen10,P19765-B21 4LFF,front near-orthographic,secondary,real-photograph,"exact empty 4LFF bay frame and front branding/control surround",supporting front frame/material,"missing all carriers; cannot define final carrier state",ACCEPT_LIMITED
source/third-party/mydraw-dl360-gen10-4lff-front.png,https://www.mydraw.com/shape-libraries-networking-equipment-hewlett-packard-enterprise-pro-liant-hpe-pro-liant-dl,2026-08-23,HPE ProLiant DL360 Gen10,4LFF,front orthographic,secondary,official-stencil-derivative,"matches user lock straight orientation",orientation support,"only 150x15 product pixels",ACCEPT_LIMITED
source/third-party/mydraw-dl360-gen10-rear.png,https://www.mydraw.com/shape-libraries-networking-equipment-hewlett-packard-enterprise-pro-liant-hpe-pro-liant-dl,2026-08-23,HPE ProLiant DL360 Gen10,locked rear,rear orthographic,secondary,official-stencil-derivative,"matches user lock rear orientation",orientation support,"only 150x14 product pixels",ACCEPT_LIMITED
source/third-party/4rgroup-front-4lff.png,https://4rgroup.com/sanpham/maychuhp-DL360-G10-4LFF-CTO.html,2026-08-23,HPE ProLiant DL360 Gen10,mislabeled 8SFF,front angle,secondary,official-render,"eight SFF carriers; not 4LFF",none,"page/filename mismatch",REJECT
source/third-party/servermall-4lff-side.png,https://servermall.ru/catalog/servers/hpe-proliant-dl360-gen10-4lff/,2026-08-23,HPE ProLiant DL360 Gen10,generic 8SFF,front-side angle,secondary,official-render,"eight SFF front despite 4LFF page",none,"wrong physical variant",REJECT
