viewer_and_model,face,reference,actual_render,comparison_sheet,mae_0_to_255_diagnostic_only,feature_review,status
Three.js standard,front,qa/reference-canvas/front.png,qa/renders/three-standard-front.png,qa/comparisons/three-standard/front.png,2.987289,"10 carriers in 2x5, Huawei/1288H V5 ears, one-USB control panel, true ear holes",PASS
Three.js standard,rear,qa/reference-canvas/rear.png,qa/renders/three-standard-rear.png,qa/comparisons/three-standard/rear.png,3.552878,"3 PCIe blanks, empty LOM/FlexIO, VGA, 4 RJ45, 2 USB, 2 identical AC PSU; front ears remain front-positioned geometry",PASS
Three.js standard,left,qa/reference-canvas/left.png,qa/renders/three-standard-left.png,qa/comparisons/three-standard/left.png,1.071767,independent physical-left slot/fastener sequence; front at image right,PASS
Three.js standard,right,qa/reference-canvas/right.png,qa/renders/three-standard-right.png,qa/comparisons/three-standard/right.png,1.19115,independent physical-right slot/fastener sequence; front at image left,PASS
Three.js standard,top,qa/reference-canvas/top.png,qa/renders/three-standard-top.png,qa/comparisons/three-standard/top.png,1.790099,"closed cover, two aligned vent bands, latch, seam and asymmetric rear steps",PASS
Three.js standard,bottom,qa/reference-canvas/bottom.png,qa/renders/three-standard-bottom.png,qa/comparisons/three-standard/bottom.png,1.073255,conservative opaque blank underside; no unsupported identifying detail,PASS_WITH_BOTTOM_FALLBACK
Babylon.js web,front,qa/reference-canvas/front.png,qa/renders/babylon-web-front.png,qa/comparisons/babylon-web/front.png,3.195683,"10 carriers in 2x5, Huawei/1288H V5 ears, one-USB control panel, true ear holes",PASS
Babylon.js web,rear,qa/reference-canvas/rear.png,qa/renders/babylon-web-rear.png,qa/comparisons/babylon-web/rear.png,3.536138,"3 PCIe blanks, empty LOM/FlexIO, VGA, 4 RJ45, 2 USB, 2 identical AC PSU; front ears remain front-positioned geometry",PASS
Babylon.js web,left,qa/reference-canvas/left.png,qa/renders/babylon-web-left.png,qa/comparisons/babylon-web/left.png,1.438638,independent physical-left slot/fastener sequence; front at image right,PASS
Babylon.js web,right,qa/reference-canvas/right.png,qa/renders/babylon-web-right.png,qa/comparisons/babylon-web/right.png,1.334497,independent physical-right slot/fastener sequence; front at image left,PASS
Babylon.js web,top,qa/reference-canvas/top.png,qa/renders/babylon-web-top.png,qa/comparisons/babylon-web/top.png,2.028111,"closed cover, two aligned vent bands, latch, seam and asymmetric rear steps",PASS
Babylon.js web,bottom,qa/reference-canvas/bottom.png,qa/renders/babylon-web-bottom.png,qa/comparisons/babylon-web/bottom.png,1.069746,conservative opaque blank underside; no unsupported identifying detail,PASS_WITH_BOTTOM_FALLBACK
