face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,QSFP+ cages,18,1,18,"pairs 1/2 through 35/36","dominant upper band","upper half, centered","recessed metal cages; each cage contains two ports",silver plated cages with black interiors,https://www.ebay.com/itm/165588009864,VERIFIED
front,QSFP+ ports,36,2,18,"odd/even vertical pair per cage; sequential left-to-right","18 equal vertical pairs","upper band","real rectangular port recesses",black opaque port cavities with metal contacts,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/aci_9336pq_hig/guide/b_n9336PQ_hardware_install_guide/b_n9336PQ_hardware_install_guide_chapter_01010.html,VERIFIED
front,upper ventilation field,1,1,1,"continuous","full body width","above QSFP row","perforated relief",silver oval perforations/black recesses,https://www.ebay.com/itm/165588009864,VERIFIED
front,QSFP side honeycomb grilles,2,1,2,"left then right","narrow vertical fields","ends of QSFP panel","perforated relief",silver hex perforations/black recesses,https://www.ebay.com/itm/165588009864,VERIFIED
front,middle ventilation slot,1,1,1,"continuous","nearly full width","between upper and lower sections","deep recessed strip",dark honeycomb grille,https://www.ebay.com/itm/165588009864,VERIFIED
front,chassis LED group,3,3,1,"BCN; STS; ENV","small","lower-left edge","flush indicator windows",black labels/dark lenses on silver,https://www.ebay.com/itm/165588009864,VERIFIED
front,USB Type-A ports,2,2,1,"upper; lower","small","lower-left, right of LEDs","recessed",black opaque connectors with silver shells,https://www.ebay.com/itm/165588009864,VERIFIED
front,RJ45 ports,2,2,1,"management above; console below","medium","lower-left, right of USB","recessed",silver shells/black interiors,https://www.ebay.com/itm/165588009864,VERIFIED
front,PTP CLK coax connector,1,1,1,"single","small","lower-left, right of RJ45 pair","projects about 5 mm",gold metal,https://www.ebay.com/itm/165588009864,VERIFIED
front,Cisco Nexus model badge,1,1,1,"CISCO NEXUS C9336PQ","small","lower-left between controls and center","flush print/label",Cisco blue/red/black on silver,https://apps.kaonadn.net/4357027/catalog/4/481/lepton/COMPOSITE_TEXTURE_0.JPG,VERIFIED
front,lower ventilation rows,2,2,1,"hex row above rectangular-slot row","long","bottom edge across body","perforated relief",silver/black,https://www.ebay.com/itm/165588009864,VERIFIED
front,front-mount brackets,2,1,2,"left; right","19.05 mm side extension each","port plane only","separate 2 mm sheet geometry; one large round mounting hole visible per screenshot/photo",galvanized silver,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/aci_9336pq_hig/guide/b_n9336PQ_hardware_install_guide/b_n9336PQ_hardware_install_guide_appendix_0100.html,VERIFIED
rear,PSU upper cover panels,2,1,2,"PS1; PS2","wide outer bays","upper-left and upper-right","flush removable panels",silver sheet metal with small labels,https://www.ebay.com/itm/165588009864,VERIFIED
rear,AC power supplies,2,1,2,"PS1; PS2","outer lower bays","far left and far right","recessed module faces with projected latch",N9K-PAC-1200W silver/black/orange/burgundy,https://www.ebay.com/itm/165588009864,VERIFIED
rear,PSU cooling fans,2,1,2,"one per PSU","medium circular","outer lower bays","deep fan recess",black fan with orange 1200W AC hub,https://www.ebay.com/itm/165588009864,VERIFIED
rear,IEC AC inlets,2,1,2,"one per PSU","medium rectangular","outer lower bays beside fans","recessed",black opaque IEC inlet,https://www.ebay.com/itm/165588009864,VERIFIED
rear,PSU release latches,2,1,2,"one per PSU","small vertical","outer edges of PSU faces","projected separate geometry",burgundy/red port-side-intake color,https://www.ebay.com/itm/165588009864,VERIFIED
rear,fan modules,2,1,2,"FAN 1; FAN 2","two equal central modules","center","separate recessed modules",N9K-C9300-FAN3 silver with honeycomb grilles,https://www.cisco.com/c/en/us/td/docs/switches/datacenter/nexus9000/hw/aci_9336pq_hig/guide/b_n9336PQ_hardware_install_guide/b_n9336PQ_hardware_install_guide_chapter_01010.html,VERIFIED
