face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,status
front,SFP/SFP28 fixed cages,48,2,24,"ports 1-48; three visible 16-port blocks","dominant dense port field","center-left through center-right","recessed cages with metal latches","silver metal and dark port interiors","source/third-party/ebay-187543569351-03.jpg; source/pdf-pages/cisco-fx-overview-physical-009.png",HIGH,VERIFIED
front,QSFP/QSFP28 fixed cages,6,2,3,"ports 49-54","larger than SFP28 cages","device right","recessed cages","silver metal and dark port interiors","source/third-party/ebay-187543569351-03.jpg; source/pdf-pages/cisco-fx-overview-physical-009.png",HIGH,VERIFIED
front,status LEDs,3,1,3,"BCN; STS; ENV top-to-bottom","small","device left","flush circular lenses","dark gray lenses on silver panel","source/pdf-pages/cisco-fx-overview-physical-009.png; source/third-party/ebay-187543569351-05.jpg",HIGH,VERIFIED
front,rack ears,2,1,2,"left ear and right ear","narrow extensions","front plane outer edges","separate stamped metal with three vertical rack openings per ear","silver metal","source/third-party/ebay-187543569351-03.jpg; source/third-party/ebay-187543569351-05.jpg",HIGH,VERIFIED
rear,AC power supply modules,2,1,2,"PSU 1 device-left; PSU 2 after fan slot 4","large square modules","outer-left and right-of-fan-bank","recessed hot-swap modules with circular fan grille, IEC inlet, black pull handle and burgundy release tab","silver metal with burgundy PI tab; 500W AC label","source/originals/user-screenshot-N9KC93180YC-row.png; source/pdf-pages/cisco-fx-modules-physical-068.png; source/third-party/switchshop-fx-01.jpg",HIGH,VERIFIED_NXA-PAC-500W-PI
rear,fan modules,4,1,4,"fan slots 1-4 left-to-right","four equal modules","between the two PSUs","recessed hot-swap trays with honeycomb grille and burgundy horizontal latch","dark grille; burgundy PI latch","source/originals/user-screenshot-N9KC93180YC-row.png; source/pdf-pages/cisco-fx-overview-rear-physical-010.png; source/third-party/switchshop-fx-01.jpg",HIGH,VERIFIED_NXA-FAN-30CFM-PI
rear,L1 software-defined ports,2,1,2,"two upper RJ-45-form sockets","small","device-right I/O block","recessed dark sockets","black/dark gray","source/pdf-pages/cisco-fx-overview-rear-physical-010.png; source/third-party/made-in-china-fx-rear.webp",HIGH,VERIFIED
rear,L2 software-defined ports,2,1,2,"two lower RJ-45-form sockets","small","device-right I/O block","recessed dark sockets","black/dark gray","source/pdf-pages/cisco-fx-overview-rear-physical-010.png; source/third-party/made-in-china-fx-rear.webp",HIGH,VERIFIED
rear,console USB management and status group,5,UNRESOLVED,UNRESOLVED,"BCN/STS LEDs; RS-232 console; USB; out-of-band RJ-45","small","device-right I/O block","mixed recessed connectors and flush LEDs","silver panel with dark ports and blue USB insert where visible","source/pdf-pages/cisco-fx-overview-rear-physical-010.png; source/third-party/made-in-china-fx-rear.webp",HIGH,VERIFIED
rear,rack ears,0,0,0,"none on rear plane","none","rear plane","none","none","official FX front/rear three-quarter diagrams",HIGH,VERIFIED_NO_REAR_EARS
left,side rail slots and screw holes,8,1,8,"documented bracket screw-hole groups along body","small","upper/lower side rails along 571 mm depth","flush holes and shallow stamped channel","silver painted sheet metal","source/originals/cisco-fx-port-side-501191.jpg; source/originals/cisco-fx-psu-side-501192.jpg; source/third-party/ebay-187543569351-04.jpg",MEDIUM_HIGH,VERIFIED_FROM_MULTI_ANGLE
right,side rail slots grounding pad and screw holes,10,1,10,"bracket screw holes plus two-hole grounding pad","small","side panel along 571 mm depth","flush holes and shallow stamped channel","silver painted sheet metal","source/originals/cisco-fx-port-side-501191.jpg; source/originals/cisco-fx-psu-side-501192.jpg; source/third-party/made-in-china-fx-rear.webp",MEDIUM_HIGH,VERIFIED_FROM_MULTI_ANGLE
top,front perforated ventilation band,1,1,1,"continuous honeycomb band","wide shallow band","front ~18 percent of top depth","real perforation opening pattern","silver sheet metal with dark hole interiors","source/third-party/ebay-187543569351-04.jpg",HIGH,VERIFIED
top,main cover and service hatches,3,1,3,"large main cover; small left-front hatch; large rear/right outlined hatch","large","remaining top surface","flush seams with visible screws","silver painted sheet metal; factory regulatory label at device-left front half","source/third-party/ebay-187543569351-04.jpg; source/third-party/made-in-china-fx-rear.webp",HIGH,VERIFIED
bottom,conservative underside,1,1,1,"neutral sheet-metal plate only","full","underside","flat closed surface preserving verified body silhouette","silver painted sheet metal","documented exact-model bottom search log; same-vendor 1U fallback",MEDIUM,GENERIC_BOTTOM_FALLBACK
