face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,HPE Quick Release rack ears,2,1,2,"plain left tool-less ear; chassis; right HP/ProLiant DL360 Gen9 marked tool-less ear","23.95 mm lateral extension each","front-only at z=+front plane","separate shallow solid Quick Release blocks with source-locked face relief; no generic circular mounting holes","silver anodized/painted metal; factory HP roundel and ProLiant DL360 Gen9 marks on right ear",https://expresscomputersystems.com/products/755258-b21,verified
front,HPE SFF Smart Carrier faces,8,2,"3+1","bays 1-6 in 2x3 left block; media bay; bays 7-8 in lower-right block","carrier face about one sixth of body width in left block","recessed into black front backplane","individual carrier shell; black handle; circular release/LED detail; 3-4 mm relief","black/dark graphite plastic with green activity and red release accents",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
front,Universal Media Bay optical drive,1,1,1,"above bays 7-8","wide slim slot","upper center-right","1.5 mm recessed slot and eject detail","black metal/plastic",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
front,front VGA,1,1,1,"left of media bay","DE-15","upper center-right","recessed connector with pin relief","blue insert; silver shell",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
front,front USB 2.0,1,1,1,"above media bay vent","Type-A","upper center-right","recessed port","black insert; silver shell",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
front,front control and SID strip,1,1,1,"power; health; NIC; UID; SID; USB 3.0","narrow vertical strip","far right inside right ear","buttons/LEDs/USB separated as relief","black strip; green/blue indicators; blue USB insert",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
front,front intake grilles,3,1,3,"long upper grille; media-bay lower grille; small control-side grille","dense perforated regions","above drive blocks and around media bay","opaque dark recess with individual perforation relief","dark graphite",https://visiocafe.info/downloads/hp/documents/VSD-DL360Gen9.pdf,verified
front,factory branding,2,1,2,"HP/HPE roundel/badge; ProLiant DL360 Gen9","factory scale","right ear/front edge; source-era left sticker may be omitted","flush print/badge","black/green/gray on silver",https://expresscomputersystems.com/products/755258-b21,verified
rear,PCIe blanking plates,3,1,3,"slot 1; slot 2; slot 3","two full/one low profile groups","upper left and center","independent ribbed plates recessed 2 mm","silver galvanized metal",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
rear,FlexibleLOM blank,1,1,1,"far-left lower blank","large low rectangular panel","lower left","recessed blank with green release detail","silver panel; green latch",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
rear,USB 3.0 Type-A,2,2,1,"stacked pair","standard Type-A","lower left-center","recessed connectors","black/blue inserts; silver shells",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
rear,optional serial DB9,1,1,1,"after USB pair, before iLO","DB9","lower center-left","recessed connector with 9 pin relief","silver shell; dark pin field",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
rear,dedicated iLO 4 RJ45,1,1,1,"after serial, before embedded NIC group","single RJ45","lower center","recessed jack and two indicators","dark jack; green/amber LEDs",https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
rear,embedded 1GbE 331i RJ45,4,1,4,"NIC 1-4 group","four equal RJ45","lower center-right","four independent recessed jacks","dark jacks; green/amber LED pairs",https://support.hpe.com/hpesc/public/docDisplay?docId=c04444501&docLocale=en_US,verified
rear,rear VGA,1,1,1,"after NIC group, before PSU zone","DE-15","lower center-right","recessed connector with pin relief","blue insert; silver shell",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
rear,HPE 500W Flex Slot AC PSU,2,1,2,"PSU 2; PSU 1","matched modules","right third","independent hot-plug blocks; visible radial fan; IEC C14 inlet; red latch; pull handle","black fan/inlet/handle; silver frame; blue 500W badge; red latch",https://www.itinstock.com/hp-proliant-dl360-gen9-8c-e5-2630v2-260ghz-2-x-600gb-hdd-8-bay-1u-rack-server-86606-p.asp,verified
rear,rear chassis vents and fasteners,5,1,5,"under/around PCIe; I/O separators; PSU frame","dense slot/perforation groups","all non-port rear sheet metal","0.5-2 mm relief; opaque recess","silver galvanized metal with dark apertures",https://support.hpe.com/hpesc/public/api/document/c04441985?v=1771326120000,verified
top,removable access cover,1,1,1,"front lip; main sheet; rear lip","full body width/depth","body top","1.2 mm raised cover with front/rear seams and latch recess","brushed/galvanized light gray steel",https://cdn11.bigcommerce.com/s-qryp1ns/images/stencil/1280x1280/products/985016/2038958/DL360-G9-Back__87630.1759432558.jpg?c=2,verified
top,top ventilation groups,4,1,4,"front intake strip; two rear large perforation fields; small latch-side field","source-matched grouped hex/perforation patterns","front edge and rear half","dark opaque perforation relief; no transparent body holes","silver sheet over dark recess",https://cloudninjas.com/products/hpe-proliant-dl360-gen9-1u-server,verified
top,cover latches/recesses,4,1,4,"front rectangular latch; small center fasteners; rear-right release latch","small mechanical details","asymmetric top positions","1-2 mm raised/recessed","silver/dark gray",https://cdn11.bigcommerce.com/s-qryp1ns/images/stencil/1280x1280/products/985016/2038958/DL360-G9-Back__87630.1759432558.jpg?c=2,verified
left,left side rail-interface pattern,10,1,10,"front flange; round holes; stamped circles; lower rear perforation strip; rear flange","small source-matched cutouts","physical device-left side","recessed/through-hole geometry; no mirror from right","galvanized light gray steel",https://cloudninjas.com/cdn/shop/files/DL360-G9-_1_1200x1200.jpg?v=1743706119,verified
right,right side rail-interface pattern,9,1,9,"front flange; round holes; long slot; stamped circles; rear vent strip","small source-matched cutouts","physical device-right side","recessed/through-hole geometry; deliberately different from left","galvanized light gray steel",https://cloudninjas.com/cdn/shop/files/DL360-G9-8-Bay-_2_3fc37304-1e29-4f43-8a64-c7cbf77b0969_1200x1200.jpg?v=1743706119,verified
bottom,conservative underside sheet,1,1,1,"plain underside only","434.7 x 698.5 mm body ratio","body bottom","closed plane; no unsupported feature","galvanized light gray steel",documented_generic_bottom_fallback,verified_fallback
