path,sha256,claimed_model,exact_configuration,face_or_angle,visible_adjacent_faces,resolution,visual_origin,inspection_result,intended_role
source/originals/user-screenshot.png,00861cf47eb85ee4f20fc3dc3fc850820368df4e3db7b2721b3226dfca8c1921,Dell C6320/2.5-inch,"complete C6300 + four C6320 + 24 SFF + dual PSU",front/rear thumbnails,none,1006x1135,user-provided screenshot,"target row readable; front 24 vertical bays; rear four nodes and two shared PSU; no C6320p appearance",target identity lock
qa/reference/user-front-thumb.png,79230f5b2c1a83c8a1cac2c5a92cdf142835319ab34120a3f8a3f5a96758c84f,Dell C6320/2.5-inch,same,front,none,1880x704 upscaled screenshot crop,user-provided screenshot derivative,"low factual resolution but silhouette/control/cover layout matches exact photos",front support only
qa/reference/user-rear-thumb.png,127ca5a6d68dc868879aa32d5dc0ebde272e0c3f9739f7a1cbc9f9955466a46f,Dell C6320/2.5-inch,same,rear,none,1840x704 upscaled screenshot crop,user-provided screenshot derivative,"rear layout matches four standard C6320 dual-SFP+ sleds and stacked orange-release PSUs",rear support only
source/originals/official-front-2.5-low.png,a426f23a7d013444a67dee7875b88c1e923f7e581b049a9cad5d8a328f268f5a,PowerEdge C6320,"24 x 2.5 with four system boards",front,none,660x169,official technical diagram,"exact count/order/control items; monochrome and low resolution",front geometry binding support
source/third-party/ebay-maravi-c6300-1.webp,fc76b4d1e5369760489b65787905dd1d478a88a9cf5ebfc5bc112517a6f900fd,C6300 + four C6320,"24 SFF; dual 10GbE SFP+",front three-quarter,top + physical right side,1206x591,real photograph,"exact direct near-orthogonal front; all carriers/ears/control panels intact; black seller backdrop only",front primary identity/style
source/third-party/ebay-maravi-c6300-2.webp,498adec201b44eba4a630e33fcb4c9f9c2a9149c518af064fd87804f41c57bd6,C6300 + four C6320,same,stacked fronts,top sliver,1280x979,real photograph,"multiple exact units; barcode stickers and warehouse excluded",front count corroboration
source/third-party/ebay-maravi-c6300-3.webp,90580587d2878fac55cfdf5ce0530db08490c8db76da4830936d35492e50457c,C6300 + four C6320,"four dual-SFP+ sleds; two 1400 W AC PSU",stacked rears,side sliver,1280x992,real photograph,"high-detail real rear; orange PSU releases; factory pull tabs; warehouse/cables excluded",rear support material/detail
source/third-party/ebay-maravi-c6300-4.webp,e4002e8d36c38656626166edb601c257c58625162f0aa5bea7c5a49e01bb3942,C6300 + C6320,"exact host; nodes partially pulled for service",top/rear three-quarter,rear + sides,1200x1200,real photograph,"top cover/pads/seam/labels/steel proven; pulled sled state excluded from rear",top primary geometry/style
source/third-party/itinstock-c6300-4xc6320.jpg,66814d562a898a13fe5a8fb7c4e589ebe22c15a999f989e88b2989b802fcd9ed,C6300 + four C6320,"24 SFF-capable host; four dual-SFP+ C6320; dual 1400 W AC",rear,top,1200x800,real photograph,"complete exact rear with consistent four nodes; mild elevated perspective; white canvas",rear primary identity/style
source/third-party/express-c6320-rear.jpg,8ef272a1584dfcf94a9bc705c5f3abc88eea77c1bc216585c103a72eb7f74cb3,C6300 + four C6320,"four C6320; two AC PSU",rear three-quarter,top + both side boundaries,800x800,real photograph,"exact full enclosure; complete top; lower detail than ITinStock",top/rear/side support
source/third-party/gotomojo-rear.jpg,e9c4a9d948bc580db9c3d38e52927cbb61adb7d2dfbe4e50ded784bf825ccf95,C6300,"only two lower C6320 sleds installed; upper blanks",rear,top,2000x1000,real photograph,"same host but incomplete module state; not used for target rear",rejected configuration lead
source/third-party/ebay-c6300-24sff-front.png,eb1fe646b4b5102d965a48a95d2f786abbb06bb16d97d6cccaf42aeba20e5f38,C6300 listing with C6320P MPN,"host 24 SFF; empty carriers; possible C6320p",front/top,top + sides,1600x1600,real photograph,"seller watermark; empty front bays; listing suffix P; excluded from identity inputs",excluded host-only lead
source/third-party/ebay-c6300-24sff-rear-or-side.webp,e8f9ae5992091196883b8e8a22bae99a64719fccf9be5124756e70b598f5c391,C6300 listing with C6320P MPN,"possible C6320p sled rear",rear/top,top + sides,1600x1600,real photograph,"blue PSU hardware and different sled configuration; excluded",excluded wrong-module lead
source/pdf-pages/owners-manual-p59.png,84c53947708d2c34791d7115086c0bab16dad4a4f9ed154844e6d56744aefbfa,PowerEdge C6320 system,complete host,top/right service diagram,front + side,1487x1976,official technical diagram,"system cover/pad/latch/seam and side slots proven",top/side binding support
source/pdf-pages/owners-manual-p61.png,8a4ee9a718867f51dc07a38171897928b3a5faa1638b5e4988e87843d7ed63d6,PowerEdge C6320 system,complete host,side/interior service diagram,both side walls,1487x1976,official technical diagram,"rail key slots and round fasteners visible; internal fan cage not an exterior texture",left binding geometry
source/pdf-pages/owners-manual-p138.png,00d324db48dd78b81d01eeae105b60c13e450cb0ad657da4114aa796fda42c9a,PowerEdge C6320 2.5 expander,exact 24 SFF host,right/front service diagram,side + drive cage,1487x1976,official technical diagram,"vertical access slot and upper shallow recesses visibly constrained",right binding geometry
source/pdf-pages/owners-manual-p26.png,53ebd7357297662378097768538ef0e7e6e24c304f889ab36609beae766d5720,PowerEdge C6320 system,complete host,dimension top/side diagram,none,1487x1976,official technical diagram,"older dimension revision; useful only for silhouette/fallback concept",bottom fallback geometry support
