path,classification,claimed_model,variant,face_or_angle,resolution,inspection_result,input_role
source/originals/user-configuration-lock.png,configuration-lock screenshot,Dell PowerEdge R7525,row 8 3.5-inch/LFF,front+rear table row,1034x1320,"Row 8 distinct from adjacent SFF/R7515 rows; front bezel installed; rear no-drive Figure-9 layout",identity lock
source/originals/user-row08-front.png,configuration-lock crop,Dell PowerEdge R7525,12LFF inferred from row label,straight front,205x60,"Complete bezel and both control edges; low resolution; no adjacent face; no clipping",binding configuration
source/originals/user-row08-rear.png,configuration-lock crop,Dell PowerEdge R7525,no rear drives dual AC,straight rear,205x60,"Four-riser Figure-9 silhouette; PSU at both lower corners; no rear-drive cage",binding configuration
source/pdf-pages/ism-p002.png,official rendered PDF,Dell PowerEdge R7525,12x3.5,straight front diagram,1488x2105,"Figure 4 proves 4x3 LFF carriers and both front control areas",binding geometry
source/pdf-pages/ism-p006.png,official rendered PDF,Dell PowerEdge R7525,no rear drives,straight rear diagram,1488x2105,"Figure 9 proves risers/BOSS/ports/two PSUs and absent rear drive module",binding geometry
source/pdf-pages/ism-bezel-p001.png,official rendered PDF,Dell PowerEdge R7525,standard LCD bezel,front three-quarter,1488x2105,"Figure 18 proves Dell EMC honeycomb, lock cylinder, LCD navigation area and attachment depth",binding bezel geometry
source/originals/official-video-frames/12lff-backplane/frame-000s.jpg,official video real frame,Dell PowerEdge R7525,exact 12x3.5,front-right/top,1280x720,"Exact LFF carrier grid; full cover; right side; real metal texture; clean except Dell.com/QRL",binding top/right/material
source/originals/official-video-frames/12lff-backplane/frame-020s.jpg,official video real frame,Dell PowerEdge R7525,exact 12x3.5,front-right/top,1280x720,"Confirms cover latch/labels, right-side holes and carrier/front proportions",binding top/right/material
source/third-party/ebay-365655196804-main.jpg,exact-model marketplace image,Dell PowerEdge R7525,12x3.5,straight front without bezel,800x800,"All 12 carriers visible 4x3; both control edges; clean white surround",supporting carrier identity
source/third-party/touchpoint-r7525.jpg,exact-model product photograph/render,Dell PowerEdge R7525,12LFF bezel; rear shown has 2 rear drives,front-left/top plus separate rear,1767x994,"Front proves bezel material and left side; rear is configuration-mismatched and excluded from rear identity",binding left/front style only
source/third-party/ecs-r7525-rear-diagram.jpg,manual-derived reseller image,Dell PowerEdge R7525,no rear drives,straight rear labeled,1080x1080,"High-resolution Figure-9 rear; labels cropped away for imagegen role",supporting rear detail
source/originals/official-video-frames/right-ear/contact-15s.png,official video contact sheet,Dell PowerEdge R7525,SFF service unit,multiple,1312x1128,"Inspected only to understand shared rack-ear service procedure; SFF front explicitly excluded from generated identity",excluded identity / procedural only

