face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,front rack ears/endcaps,2,1,2,"drive-bay ID ear; ProLiant DL360 Gen10 HPE-branded ear","full 1U height; narrow","extreme left and right","separate protruding parts with silver mounting flange returns","black molded/stamped parts with silver flange; HPE green accent",https://www.hpe.com/psnow/doc/a00008159enw,verified
front,LFF hot-plug carrier fronts,4,1,4,"bay 1; bay 2; bay 3; bay 4","four equal 3.5-inch carriers","single row between ears","separate recessed carrier bodies with individual pull handles and latch relief","black plastic/painted metal; green status/latch accents; restrained magenta latch detail",https://www.hpe.com/psnow/doc/a00008159enw,verified
front,upper ventilation grille groups,5,1,5,"grille sections follow the four bay/control divisions","shallow continuous top band","above carriers","perforated/recessed band, not transparent chassis","matte black",https://www.hpe.com/psnow/doc/a00008159enw,verified
front,optical drive blank,1,1,1,"ODD blank","small horizontal slot","upper front above left-center bay area","flush blank with seam","black",https://support.hpe.com/hpesc/public/docDisplay?docId=a00105399en_us&docLocale=en_US&page=GUID-A907F1AD-6041-4CD5-9C29-47DF3AC366A9.html,verified
front,serial label pull tab,1,1,1,"pull tab","small horizontal","upper front center-left","slightly recessed/pullable","dark gray/black",https://www.hpe.com/psnow/doc/a00008159enw,verified
front,display-port USB2 option blank,1,1,1,"blank shown","small horizontal module","upper front center","flush blank","black",https://www.hpe.com/psnow/doc/a00008159enw,verified
front,Systems Insight Display and status controls,1,1,1,"UID; power; health; NIC status in exact HPE order","small dense group","upper front right of bay 4","separate buttons/LED lenses with shallow relief","black with blue/green status color",https://www.hpe.com/psnow/doc/a00008159enw,verified
front,iLO service and USB3 front ports,2,1,2,"iLO Service; USB 3.0","small port group","upper front right control area","true recessed port cavities","black connector cavities with white factory marks",https://support.hpe.com/hpesc/public/docDisplay?docId=a00105399en_us&docLocale=en_US&page=GUID-A907F1AD-6041-4CD5-9C29-47DF3AC366A9.html,verified
rear,PCIe exposed slot groups,3,2,2,"slot 1 FH; slot 2 LP; optional slot 3","large expansion openings","screen-left and upper center in rear view","separate recessed blank plates with perforation/slot relief","galvanized silver",https://www.hpe.com/psnow/doc/a00008159enw,verified
rear,331FLR FlexibleLOM RJ45 ports,4,1,4,"four RJ45","medium port row","screen-left lower rear","four true recessed connector openings in one removable module","silver module face; black port cavities",https://www.hpe.com/psnow/doc/a00008159enw,verified
rear,rear USB3 ports,2,2,1,"upper; lower","small stacked pair","left-center rear beside serial","true recessed connector openings","black/blue connector detail",https://support.hpe.com/hpesc/public/docDisplay?docId=a00105399en_us&docLocale=en_US&page=GUID-CCF447DF-671D-4F37-9C1A-B88D67163C92.html,verified
