face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url_or_path,confidence
front,front rack ears,2,1,2,Huawei ear then chassis then 1288H V5 ear,23.3 mm lateral extension each,front-only at outer ends,separate folded geometry with true round mounting holes,black polymer/paint with silver hole walls,source/third-party/serverflow/10sff.webp,HIGH
front,SFF carrier/filler faces,10,2,5,"slots 0/1; 2/3; 4/5; 6/7; 8/9 by official numbering",five equal columns across main black front,central span between ears,separate recessed carrier frames and faces,black honeycomb polymer with dark latch and lime-green vertical accent,source/pdf-pages/user-guide-p014.png; source/third-party/serverflow/10sff.webp,HIGH
front,SFF honeycomb ventilation fields,10,2,5,same as carriers,one field per carrier,within each carrier face,recessed opaque dark vent relief,black hexagonal grille; no transparency in texture,source/third-party/serverflow/10sff.webp,HIGH
front,carrier handles and latches,10,2,5,same as carriers,one handle/latch per carrier,on the right side of each carrier face as viewed from front,protruding and recessed stepped geometry,dark gray/black polymer with green accent,source/third-party/serverflow/10sff.webp,HIGH
front,front control panel,1,1,1,after the fifth carrier column,about one carrier-column wide,screen-right inside chassis,stepped black panel with separate controls,black polymer,source/pdf-pages/user-guide-p015.png; source/third-party/serverflow/10sff.webp,HIGH
front,fault diagnosis display,1,1,1,upper-left of control panel,three-digit narrow display,screen-right control panel,slightly recessed,dark smoked window with pale unlit segments,source/pdf-pages/user-guide-p015.png,HIGH
front,indicator/button group,5,1,5,"power; fault diagnosis; health; LOM connection; UID per official callout",small,upper/right portions of control panel,flush/recessed with shallow buttons,dark gray with white icons and tiny neutral indicators,source/pdf-pages/user-guide-p015.png,HIGH
front,USB 3.0 port,1,1,1,only front external port for 10SFF,small,lower control panel,recessed metal/black slot,black and silver,source/pdf-pages/user-guide-p019.png,HIGH
front,Huawei flower mark and HUAWEI wordmark,1,1,1,device-left rack ear,identity-sized,screen-left/front physical left,flush printing/texture,white factory marking,source/third-party/serverflow/10sff.webp,HIGH
front,1288H V5 model marking,1,1,1,device-right rack ear,identity-sized,screen-right/front physical right,flush printing/texture,white factory marking,source/third-party/serverflow/10sff.webp,HIGH
rear,external PCIe slot covers,3,1,3,"slot 1; slot 2; slot 3 from physical-right toward physical-left as labeled by Huawei",three unequal perforated/blank stamped covers,upper rear span,separate recessed stamped panels with holes/relief,silver galvanized metal,source/pdf-pages/user-guide-p020.png; source/third-party/serverflow/10sff-photo.webp,HIGH
