path,source_url,authority,source_class,visual_origin,claimed_model,variant,face_or_angle,inspection_result,imagegen_role
source/originals/user-target-list-screenshot.png,user-provided,primary-request,user-screenshot,real-screenshot,"Dell model list","C6420/2.5-inch row",front+rear,"original 1008x1134 screenshot; target row clearly shows 24 carrier front and four-sled/two-PSU default rear; low resolution but authoritative for requested configuration",configuration authority
qa/reference/user-c6420-row-front-upscaled.png,user-provided,primary-request,derived-crop,real-screenshot,"C6400 + C6420","24-SFF all carriers",front,"Lanczos display enlargement only; adds no facts; confirms 24 vertical carriers and left/right control housings",supporting screenshot crop
qa/reference/user-c6420-row-rear-upscaled.png,user-provided,primary-request,derived-crop,real-screenshot,"C6400 + four C6420","default I/O + two shared PSU",rear,"Lanczos display enlargement only; adds no facts; rear matches Dell default four-sled composition and central PSU stack",supporting screenshot crop
source/third-party/imgur-uec15Ij-cover.jpeg,https://imgur.com/a/uec15Ij,secondary,used-equipment,real-photograph,"C6400 + four C6420","24-SFF with all 24 carriers",front-right/top,"1600x1066 exact real system; all carrier orange releases/silver handles; full factory front branding; workshop background excluded",PRIMARY front identity/style
source/third-party/techyparts-01.jpg,https://store.techyparts.com/products/dell-poweredge-c6400-24sff-4-node-c6420-dual-lga3647-h730p-x710-cto-2u-server,secondary,refurbisher,real-photograph,"C6400 + C6420","24-SFF with drive blanks",front/top,"closed top and front; drive blanks differ from requested carriers; confirms top relief and control housings",supporting top geometry
source/third-party/techyparts-02.jpg,https://store.techyparts.com/products/dell-poweredge-c6400-24sff-4-node-c6420-dual-lga3647-h730p-x710-cto-2u-server,secondary,refurbisher,real-photograph,"C6400 + four C6420","default blank slots + 2x1600W AC",rear/top,"1600x1600 exact closed four-sled rear; no add-in NIC; blue handles and EPP1600W PSU clearly visible; seller background removable",PRIMARY rear identity/style
source/third-party/techyparts-03.jpg,https://store.techyparts.com/products/dell-poweredge-c6400-24sff-4-node-c6420-dual-lga3647-h730p-x710-cto-2u-server,secondary,refurbisher,real-photograph,"C6420 sled","open node",top/internal,"standalone open sled on chassis; not an exterior face; proves sled length and frame",geometry support only
source/third-party/techyparts-04.jpg,https://store.techyparts.com/products/dell-poweredge-c6400-24sff-4-node-c6420-dual-lga3647-h730p-x710-cto-2u-server,secondary,refurbisher,real-photograph,"C6420 sled","open node",internal close-up,"PERC/OCP and board close-up; no exterior face proof",not used for face generation
source/third-party/techyparts-05.jpg,https://store.techyparts.com/products/dell-poweredge-c6400-24sff-4-node-c6420-dual-lga3647-h730p-x710-cto-2u-server,secondary,refurbisher,real-photograph,"C6420 sled","open node",internal close-up,"riser cable close-up; no exterior face proof",not used for face generation
source/third-party/techyparts-06.jpg,https://store.techyparts.com/products/dell-poweredge-c6400-24sff-4-node-c6420-dual-lga3647-h730p-x710-cto-2u-server,secondary,refurbisher,real-photograph,"C6420 sled","open node",internal close-up,"riser bracket and warning label; no exterior face proof",not used for face generation
