face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,review_status,final_evidence
front,rack ears/control housings,2,1,2,left health/control then right power/I-O control,narrow full-height,outermost left and right,front-protruding separate geometry,black painted metal/plastic,user-row08-front.png + Dell ISM pp.9-12,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,LFF drive carriers behind bezel,12,3,4,four carrier columns each with top-middle-bottom,dominant center field,between control housings,recessed bay plus projecting carrier handles,black plastic with silver horizontal handles and orange release rings,Dell ISM p.9 Figure 4 + eBay exact 12LFF source,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,security bezel honeycomb openings,11,2,6,6 upper openings and 5 lower staggered openings,large,over drive field,raised lattice with open depth,dark graphite frame with metallic gray lattice,Dell ISM p.28 Figure 18 + user row-8 lock,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,bezel lock cylinder,1,1,1,left of honeycomb,small circular,upper-left bezel,projecting cylinder,black/dark gray,Dell ISM p.28 Figure 18,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,DELL EMC factory mark,1,1,1,center,medium,center of honeycomb lattice,flush/raised badge,white factory marking,Dell ISM p.28 Figure 18 + user row-8 lock,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,LCD/navigation area,1,1,1,right of center,small horizontal,on upper-right bezel rail,recessed black display with tiny buttons,black/gray,Dell ISM p.28 Figure 18 + exact product renders,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,left status/control strip,1,1,1,vertical indicators,small,left rack ear/front control,slightly recessed,black with blue/green status accents,Dell ISM pp.11 and row-8 lock,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,right power/VGA/USB/iDRAC Direct controls,1,1,1,power above VGA+USB and Micro-AB,small,right rack ear/front control,ports recessed and power button proud,black with green power ring and blue VGA,Dell ISM p.12 Figure 8,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
rear,PCIe riser groups,4,2,4,riser1 upper-left; riser2 lower-center-left; riser3 upper-center; riser4 upper-right,large vented slot groups,upper and mid rear,recessed filler plates with raised borders,zinc-plated silver metal with black vent slots,Dell ISM p.13 Figure 9 + row-8 rear lock,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,PCIe slot positions,8,2,4,slots 1-2; 3 and 6; 4-5; 7-8,eight horizontal positions,within four riser groups,recessed vented fillers,silver stamped metal,Dell ISM p.13 Figure 9,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,BOSS S2 module/slot,1,1,1,between riser1 and riser3,small vertical,upper-left-center,projecting cartridge/filler,black with orange release details,Dell ISM p.13 Figure 9 + row-8 rear lock,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,rear handle/retention brackets,3,1,3,between riser groups,small vertical,upper rear,raised/pivoting metal,silver metal with blue fasteners,Dell ISM p.13 Figure 9,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,PSU assemblies,2,1,2,PSU1 far left then PSU2 far right,large lower-corner blocks,lower rear corners,PSU handles extend to rearmost Zc,black and silver AC hot-plug modules with orange latch,Dell ISM p.13 Figure 9 + row-8 rear lock,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,PSU fan rotors,2,1,2,one per PSU,large circular,inside each PSU rear face,recessed fan with guard,black/gray,Dell ISM p.13 Figure 9,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,IEC C20 AC inlets,2,1,2,one per PSU,medium rectangular,each PSU rear face,recessed,black,Dell ISM p.13 Figure 9 + AC lock,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,embedded NIC ports,2,1,2,NIC1 then NIC2,small RJ45,lower-left-center,recessed connectors,black metal with green accents,Dell ISM p.13 Figure 9 item 14,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,OCP 3.0 NIC area,1,1,1,center port group,medium dual opening,lower center,recessed module opening,silver cage with black ports,Dell ISM p.13 Figure 9 item 13,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,system ID button,1,1,1,between OCP and iDRAC,small round,lower center-right,slightly proud,silver/blue,Dell ISM p.13 Figure 9 item 12,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,iDRAC dedicated RJ45,1,1,1,left of USB3 and VGA,small,lower center-right,recessed,black RJ45,Dell ISM p.13 Figure 9 item 11,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,USB 3.0 port,1,1,1,right of iDRAC,small,lower center-right,recessed,black/blue,Dell ISM p.13 Figure 9 item 10,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,VGA DB15,1,1,1,right of USB3,small,lower center-right,recessed,blue connector with silver shell,Dell ISM p.13 Figure 9 item 9,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,USB 2.0 port,1,1,1,below/near riser4 control area,small,mid-right,recessed,black,Dell ISM p.13 Figure 9 item 6,verified,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,optional serial DB9 card,0,0,0,absent,none,PCIe filler position,vented blank retained,none; no invented DB9,user row-8 rear lock + official Figure 9,verified-absent,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
rear,rear drive module,0,0,0,absent,none,upper rear,full riser fillers retained,none,user row-8 rear lock + official Figure 9,verified-absent,MATCHED,final/comparisons/three/rear/sheet.png; final/comparisons/babylon/rear/sheet.png
top,main system cover,1,1,1,front label strip then broad cover then rear seam,dominant full body,top surface,recessed seams and separate latch,silver galvanized/painted sheet metal,Dell official 12LFF service-video frames 0s/20s + ISM pp.28-31,verified,MATCHED,final/comparisons/three/top/sheet.png; final/comparisons/babylon/top/sheet.png
top,cover release latch,1,1,1,centered,small rectangular,center-rear half of cover,recessed pocket with raised handle,dark gray metal/plastic,Dell official 12LFF service-video frames 0s/20s,verified,MATCHED,final/comparisons/three/top/sheet.png; final/comparisons/babylon/top/sheet.png
top,system information labels,3,1,3,white warning/service then orange table areas,long shallow strips,front section of top cover,flush printed labels,white/orange/black,Dell official 12LFF service-video frames 0s/20s,verified,MATCHED,final/comparisons/three/top/sheet.png; final/comparisons/babylon/top/sheet.png
right,right side sheet-metal panel,1,1,1,front control extrusion then rail slots then rear seam,full depth,device right side,stamped recesses and separate fasteners,silver galvanized metal,Dell official 12LFF service-video frames 0s/20s,verified,MATCHED,final/comparisons/three/right/sheet.png; final/comparisons/babylon/right/sheet.png
right,right-side rail/keyhole features,6,2,3,non-mirrored exact visible set,small,upper/front and mid side,cut/recessed slots,dark openings in silver metal,Dell official 12LFF service-video frames 0s/20s,verified,MATCHED,final/comparisons/three/right/sheet.png; final/comparisons/babylon/right/sheet.png
left,left side sheet-metal panel,1,1,1,front bezel hook/control housing then label/rail features then rear seam,full depth,device left side,stamped recesses and separate fasteners,silver galvanized metal,Touchpoint exact R7525 12LFF-bezel photo + Dell ISM bezel figure,verified,MATCHED,final/comparisons/three/left/sheet.png; final/comparisons/babylon/left/sheet.png
left,left-side rail/keyhole features,5,2,3,asymmetric relative to right,small,front/mid side,cut/recessed slots,dark openings in silver metal,Touchpoint exact R7525 12LFF-bezel photo + ISM figures,verified,MATCHED,final/comparisons/three/left/sheet.png; final/comparisons/babylon/left/sheet.png
bottom,conservative underside sheet,1,1,1,no unsupported details,full body,underside,flat closed plate,silver galvanized sheet metal,documented generic-bottom fallback,controlled-fallback,MATCHED_GENERIC_BOTTOM_FALLBACK,final/comparisons/three/bottom/sheet.png; final/comparisons/babylon/bottom/sheet.png
internal,hot-swap fan modules,6,1,6,left-to-right across fan cage,medium,behind front backplane,independent blocks and rotors,black housings with gray/blue details,Dell ISM p.16 and official 12LFF video,verified-hidden,MATCHED_HIDDEN_STRUCTURAL,final/standard/closed-core.json
