path,classification,claimed_pid,configuration,face_or_angle,orientation_and_visible_faces,resolution_or_page,inspection_result,intended_imagegen_role
source/originals/request-table.png,user-provided-reference,FG3700D,"ambiguous thumbnail","front+rear thumbnails","row 2",1034x1320,"front consistent; rear too small/inconsistent to bind exact geometry",request context only
source/third-party/ebay-236708345684-01.webp,REAL_PHOTO,FG-3700D,"AC; empty ports","near-orthogonal front","front and slight top",1600x1199,"exact badge; seller watermark; minor wear; usable complete front",front primary identity/style
source/third-party/ebay-236708345684-02.webp,REAL_PHOTO,FG-3700D,"AC; empty ports","front-top oblique","front and top",1600x1199,"exact front order and top logo; seller watermark",front/top geometry support
source/third-party/ebay-236708345684-03.webp,REAL_PHOTO,FG-3700D,"AC; empty ports","front-left close-up","left identity/control area",1600x1199,"exact logo/model/controls; seller watermark",front detail support
source/third-party/ebay-236708345684-04.webp,REAL_PHOTO,FG-3700D,"AC; empty ports","front-right close-up","right SFP groups",1600x1199,"exact port grouping/numbering; seller watermark",front detail support
source/third-party/ebay-236708345684-05.webp,REAL_PHOTO,FG-3700D,"AC badge","right-side label close-up","physical right side",1600x1199,"exact regulatory label and paint wear",right material/label support
source/third-party/ebay-236708345684-06.webp,REAL_PHOTO,FG-3700D,"dual AC; six fans","near-orthogonal rear","rear and slight top",1600x1199,"complete rear; exact PSU/fan/ground order; seller watermark",rear primary identity/style
source/third-party/ebay-236708345684-07.webp,REAL_PHOTO,FG-3700D,"dual AC; underside","rear-bottom oblique","rear and bottom",1600x1199,"exact bottom slot layout and rear relief; seller watermark",bottom/rear geometry support
source/third-party/ebay-236755802715-01.webp,REAL_PHOTO,FG-3700D-USG,"AC; dust caps; loose cables","front-top oblique","front and top",1600x1200,"exact badge and surface grain; cables/sticker excluded",front/top material support
source/third-party/ebay-236755802715-04.webp,REAL_PHOTO,FG-3700D-USG,"AC badge","right side oblique","physical right and top",1600x1200,"exact right side with label; front handle at physical front",right support
source/third-party/ebay-236755802715-06.webp,REAL_PHOTO,FG-3700D-USG,"dual AC; six fans","near-orthogonal rear","rear and top",1600x1200,"complete rear; exact PSU/fan/ground order",rear support
source/third-party/ebay-236755802715-07.webp,REAL_PHOTO,FG-3700D-USG,"AC","left side oblique","physical left and top",1600x1200,"exact unlabeled left panel and top seam",left support
source/third-party/enbitcon-front.jpg,REAL_PHOTO_OR_OFFICIAL_RENDER,FG-3700D,"front shared AC/DC; empty cages","near-orthogonal front","front and slight top",2116x1237,"clean high-resolution front; exact layout; white background",front binding geometry support
source/third-party/enbitcon-brochure.jpg,REAL_PHOTO_OR_OFFICIAL_RENDER,FG-3700D,"dual AC; six fans","orthogonal rear","rear only",4246x1796,"clean high-resolution rear; exact AC configuration",rear binding geometry support
source/pdf-pages/anatel-external-01.png,REAL_PHOTO_IN_REGULATORY_PDF,FG-3700D,"AC badge","front-top oblique","front and top",2105x1488,"exact label inset and front; gray test-lab lighting",front/top support
source/pdf-pages/anatel-external-02.png,REAL_PHOTO_IN_REGULATORY_PDF,FG-3700D,"dual AC; six fans","rear-top oblique","rear and top",2105x1488,"exact complete rear",rear support
source/pdf-pages/anatel-external-03.png,REAL_PHOTO_IN_REGULATORY_PDF,FG-3700D,"AC","left side","physical left and top",2105x1488,"complete unlabeled left side; non-mirrored pattern",left primary identity/style
source/pdf-pages/anatel-external-04.png,REAL_PHOTO_IN_REGULATORY_PDF,FG-3700D,"AC badge","right side","physical right and top",2105x1488,"complete labeled right side; non-mirrored pattern",right primary identity/style
source/pdf-pages/anatel-external-05.png,REAL_PHOTO_IN_REGULATORY_PDF,FG-3700D,"AC","top","top only",2105x1488,"complete top; registration sticker is non-factory context and excluded",top primary identity/style
source/pdf-pages/anatel-external-06.png,REAL_PHOTO_IN_REGULATORY_PDF,FG-3700D,"AC","bottom","bottom only",2105x1488,"complete exact underside with label and seven groups of paired rail/key slots in a 3-2-2 layout",bottom primary identity/style
source/pdf-pages/qsg-02.png,TECHNICAL_DIAGRAM,FG-3700D,"box contents","front plus bracket/rail/transceiver drawings","n/a",1980x1530,"proves two rack brackets, rail kit, two SFP+ SR and feet not installed",front bracket geometry support
