gate,evidence,status,notes
assembly_identity,source/identity-manifest.md,PASS,"Huawei 02350JAS / CE6851-HI-B-B0A; fixed 1U appliance"
installed_configuration,source/identity-manifest.md; source/feature-inventory.csv,PASS,"48x10GE SFP+; 6x40GE QSFP+; 2xPAC-600WA-B AC; 2xFAN-40EA-B; port-side intake"
six_face_lineage,source/face-source-lock.csv; source/raster-inspection.csv,PASS,"All six faces SOURCE_LOCKED_GENERATION from exact-device real photos; no bottom fallback"
six_transparent_views,views/; qa/views-audit.json,PASS,"All six RGBA PNGs pass configured ratio/resolution audit; opaque core has zero transparent pixels"
closed_exterior,qa/structure-audit.json,PASS,"Watertight positive-volume chassis shell; six outward single-sided surface cards"
front_business_ports,qa/structure-audit.json; qa/renders/,PASS,"48 SFP+ plus 6 QSFP+ connected geometry components; 54 total"
rear_power_and_fans,qa/structure-audit.json; qa/renders/,PASS,"Two PAC-600WA-B AC PSUs and two FAN-40EA-B modules with hot-swap relief"
rear_management,qa/renders/threejs/standard/rear_management.png; source/feature-inventory.csv,PASS,"CONSOLE/ETH/USB/pull-tab area retained and separately modeled"
left_right_identity,qa/webgl-audit.json; qa/renders/,PASS,"Non-mirrored sides; yellow ground landmark occurs only on physical right in both viewers"
top_mechanics,qa/renders/threejs/standard/top.png; source/feature-inventory.csv,PASS,"Top cover, port-side vent strip, divisions and transverse seam retained"
bottom_mechanics,qa/renders/threejs/standard/bottom.png; source/feature-inventory.csv,PASS,"Exact photographed labels, five longitudinal ribs, transverse rib and fasteners retained; bottom normal repaired to -Y"
rack_ears,qa/structure-audit.json; qa/renders/threejs/standard/front_ear_left.png; qa/renders/threejs/standard/front_ear_right.png,PASS,"Separate watertight port-side brackets; two true through-holes each; no rear-ear geometry"
materials_uv_alpha,qa/glb-audit-standard.json; qa/glb-audit-web.json,PASS,"Six sRGB embedded RGB textures; face materials OPAQUE/unlit; no external buffers, mirroring or negative transforms"
standard_glb,model/Huawei-CE6851.glb; qa/glb-audit-standard.json,PASS,"16,579,548 bytes; 49 nodes/meshes; 12 materials; 6 textures"
web_glb,model/Huawei-CE6851-web.glb; qa/glb-audit-web.json,PASS,"10,129,052 bytes; identical exterior geometry; reduced texture resolution only"
threejs_validation,qa/renders/threejs/; qa/comparisons/threejs-standard-10view-contact.png,PASS,"Standard and web: six orthographic plus four oblique; standard detail/checker views"
babylonjs_validation,qa/renders/babylonjs/; qa/comparisons/babylonjs-standard-10view-contact.png,PASS,"Right-handed glTF convention; standard and web: six orthographic plus four oblique; no console errors"
source_render_comparisons,qa/comparisons/source-threejs-standard-sixface-contact.png; qa/comparisons/source-babylonjs-web-sixface-contact.png,PASS,"Twelve matched-canvas reference/render/overlay/difference sheets reviewed feature-by-feature"
standard_web_comparison,qa/render-comparison-table.csv,PASS,"Maximum same-engine normalized RMSE 0.012141; all ten views pass"
official_3d_backup,source/official-3d-search.md,NOT_FOUND,"Exact public official 3D asset not found; no private/access-controlled file was substituted"
branding,views/front.png; views/rear.png; qa/renders/,PASS,"Genuine HUAWEI/model and module markings retained; no replacement logo"
final_status,qa/final-qa.md,PASS,"Exact-evidence build; no bottom fallback; no unresolved error"
