face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,review_index,review_status,standard_named_geometry_matches,web_named_geometry_matches,matched_camera_evidence,verification,review_notes
front,2.5-inch drive carrier,24,1,24,carrier 0 through 23 grouped six per sled,each about 1/24 of bay span,between side control housings,recessed bay with projecting latch and lower handle,black textured plastic with orange release and silver-gray handle,https://imgur.com/a/uec15Ij,verified,1,PASS_EXACT,Front_Drive_Carrier_01_Frame_Handle|Front_Drive_Carrier_01_Orange_Release_Ring|Front_Drive_Carrier_02_Frame_Handle|Front_Drive_Carrier_02_Orange_Release_Ring|Front_Drive_Carrier_03_Frame_Handle|Front_Drive_Carrier_03_Orange_Release_Ring|Front_Drive_Carrier_04_Frame_Handle|Front_Drive_Carrier_04_Orange_Release_Ring|Front_Drive_Carrier_05_Frame_Handle|Front_Drive_Carrier_05_Orange_Release_Ring|Front_Drive_Carrier_06_Frame_Handle|Front_Drive_Carrier_06_Orange_Release_Ring,Front_Drive_Carrier_01_Frame_Handle|Front_Drive_Carrier_01_Orange_Release_Ring|Front_Drive_Carrier_02_Frame_Handle|Front_Drive_Carrier_02_Orange_Release_Ring|Front_Drive_Carrier_03_Frame_Handle|Front_Drive_Carrier_03_Orange_Release_Ring|Front_Drive_Carrier_04_Frame_Handle|Front_Drive_Carrier_04_Orange_Release_Ring|Front_Drive_Carrier_05_Frame_Handle|Front_Drive_Carrier_05_Orange_Release_Ring|Front_Drive_Carrier_06_Frame_Handle|Front_Drive_Carrier_06_Orange_Release_Ring,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,drive carrier orange release,24,1,24,same as carriers,small circular,upper portion of each carrier,projecting button,orange ring on black,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified,2,PASS_EXACT,Front_Drive_Carrier_01_Orange_Release_Ring|Front_Drive_Carrier_02_Orange_Release_Ring|Front_Drive_Carrier_03_Orange_Release_Ring|Front_Drive_Carrier_04_Orange_Release_Ring|Front_Drive_Carrier_05_Orange_Release_Ring|Front_Drive_Carrier_06_Orange_Release_Ring|Front_Drive_Carrier_07_Orange_Release_Ring|Front_Drive_Carrier_08_Orange_Release_Ring|Front_Drive_Carrier_09_Orange_Release_Ring|Front_Drive_Carrier_10_Orange_Release_Ring|Front_Drive_Carrier_11_Orange_Release_Ring|Front_Drive_Carrier_12_Orange_Release_Ring,Front_Drive_Carrier_01_Orange_Release_Ring|Front_Drive_Carrier_02_Orange_Release_Ring|Front_Drive_Carrier_03_Orange_Release_Ring|Front_Drive_Carrier_04_Orange_Release_Ring|Front_Drive_Carrier_05_Orange_Release_Ring|Front_Drive_Carrier_06_Orange_Release_Ring|Front_Drive_Carrier_07_Orange_Release_Ring|Front_Drive_Carrier_08_Orange_Release_Ring|Front_Drive_Carrier_09_Orange_Release_Ring|Front_Drive_Carrier_10_Orange_Release_Ring|Front_Drive_Carrier_11_Orange_Release_Ring|Front_Drive_Carrier_12_Orange_Release_Ring,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,drive carrier lower handle,24,1,24,same as carriers,tall narrow,lower half of each carrier,shallow projecting hinged geometry,silver-gray metal/plastic,https://imgur.com/a/uec15Ij,verified,3,PASS_EXACT,Front_Drive_Carrier_01_Frame_Handle|Front_Drive_Carrier_02_Frame_Handle|Front_Drive_Carrier_03_Frame_Handle|Front_Drive_Carrier_04_Frame_Handle|Front_Drive_Carrier_05_Frame_Handle|Front_Drive_Carrier_06_Frame_Handle|Front_Drive_Carrier_07_Frame_Handle|Front_Drive_Carrier_08_Frame_Handle|Front_Drive_Carrier_09_Frame_Handle|Front_Drive_Carrier_10_Frame_Handle|Front_Drive_Carrier_11_Frame_Handle|Front_Drive_Carrier_12_Frame_Handle,Front_Drive_Carrier_01_Frame_Handle|Front_Drive_Carrier_02_Frame_Handle|Front_Drive_Carrier_03_Frame_Handle|Front_Drive_Carrier_04_Frame_Handle|Front_Drive_Carrier_05_Frame_Handle|Front_Drive_Carrier_06_Frame_Handle|Front_Drive_Carrier_07_Frame_Handle|Front_Drive_Carrier_08_Frame_Handle|Front_Drive_Carrier_09_Frame_Handle|Front_Drive_Carrier_10_Frame_Handle|Front_Drive_Carrier_11_Frame_Handle|Front_Drive_Carrier_12_Frame_Handle,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,left control panel,1,1,1,Dell EMC then sled 1 and 2 controls,narrow vertical,far device-left,projects beyond body and drive plane,black plastic with white Dell EMC and blue/green/white icons,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified,4,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,right control panel,1,1,1,C6400 then sled 3 and 4 controls,narrow vertical,far device-right,projects beyond body and drive plane,black plastic with white C6400 and blue/green/white icons,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified,5,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,node power buttons,4,2,2,1 and 2 on left panel; 3 and 4 on right panel,small circular,paired vertically on control panels,recessed lens/button,green ring with white power symbol,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified,6,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,node system-ID buttons,4,2,2,paired below each power button,small circular,control panels,recessed lens/button,white information symbol with blue accents,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified,7,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,integrated pull handle,2,1,2,left then right,tall loop,immediately inboard of control housings,separate projecting loop geometry,silver galvanized metal,https://imgur.com/a/uec15Ij,verified,8,PASS_EXACT,Rear_C6420_Sled_1_Blue_Pull_Handle|Rear_C6420_Sled_2_Blue_Pull_Handle|Rear_C6420_Sled_3_Blue_Pull_Handle|Rear_C6420_Sled_4_Blue_Pull_Handle|Front_Drive_Carrier_01_Frame_Handle|Front_Drive_Carrier_02_Frame_Handle|Front_Drive_Carrier_03_Frame_Handle|Front_Drive_Carrier_04_Frame_Handle|Front_Drive_Carrier_05_Frame_Handle|Front_Drive_Carrier_06_Frame_Handle|Front_Drive_Carrier_07_Frame_Handle|Front_Drive_Carrier_08_Frame_Handle,Rear_C6420_Sled_1_Blue_Pull_Handle|Rear_C6420_Sled_2_Blue_Pull_Handle|Rear_C6420_Sled_3_Blue_Pull_Handle|Rear_C6420_Sled_4_Blue_Pull_Handle|Front_Drive_Carrier_01_Frame_Handle|Front_Drive_Carrier_02_Frame_Handle|Front_Drive_Carrier_03_Frame_Handle|Front_Drive_Carrier_04_Frame_Handle|Front_Drive_Carrier_05_Frame_Handle|Front_Drive_Carrier_06_Frame_Handle|Front_Drive_Carrier_07_Frame_Handle|Front_Drive_Carrier_08_Frame_Handle,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,front mounting/control housing,2,1,2,left and right,narrow vertical,outermost sides,separate geometry extending total width to 482.6 mm,black plastic and silver stamped metal,https://dl.dell.com/topicspdf/poweredge-c6400_Owners-Manual2_en-us.pdf,verified,9,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,EST information tag,1,1,1,right of drive cage adjacent to right panel,small pull tab,device-right front,recessed/pull-out tab,silver/black,https://dl.dell.com/topicspdf/poweredge-c6400_owners-manual_en-us.pdf,verified,10,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
