path,visual_origin,claimed_model_or_subject,face_or_angle,exact_configuration,inspection_notes,intended_role,status
source/originals/user-request-table.png,user-provided-screenshot,device catalog,multiple rows,"row 9 Huawei RH1288V5/2.5-inch","Original 1042x1636 screenshot inspected at original detail; row 9 is 10SFF 2x5 and three-slot rear thumbnail; adjacent 3.5/V3 rows excluded",request identity,ACCEPTED
qa/reference/user-row-09.png,derived-crop,user row 9,front and rear thumbnail,"10SFF; empty optional LOM/FlexIO; dual AC","Cropped without resampling; confirms five-by-two front and three separate rear slot covers",configuration lock,ACCEPTED
qa/reference/user-row-09-rear-4x.png,derived-nearest-neighbor,user row 9,rear elevation thumbnail,"empty optional LOM1/2; empty FlexIO; dual AC","Nearest-neighbor enlargement inspected; no ports exist before VGA; four fixed RJ45 then stacked USB; three upper blanks",rear identity binding,ACCEPTED
source/pdf-pages/quick-start-p001.png,official-technical-document,Huawei 1288H V5,front/rear elevations and dimensions,family options,"Inspected at original detail; names 10 disk bays; rear labels slots 1/2/3 and optional flexible NIC; gives 43x436x708 2.5-inch depth",configuration/dimensions,ACCEPTED
source/pdf-pages/quick-start-p002.png,official-technical-document,Huawei 1288H V5,top/front installation angle,family,"Inspected at original detail; proves closed cover and front-only mounting action; not a color source",geometry support,ACCEPTED
source/pdf-pages/user-guide-p010.png,official-technical-document,Huawei 1288H V5 8SFF example,top-front and exploded view,8SFF not target,"Inspected; exact 1288H V5 2.5-inch chassis/top family but 8SFF front rejected",top/chassis support,ACCEPTED_SUPPORT_ONLY
source/pdf-pages/user-guide-p011.png,official-technical-document,Huawei 1288H V5,logical/internal,not exterior configuration,"Inspected; labels FlexIO and riser modules; no exterior color proof",assembly support,ACCEPTED_SUPPORT_ONLY
source/pdf-pages/user-guide-p012.png,official-technical-document,Huawei 1288H V5,logical text,not exterior configuration,"Inspected; documents optional LOM and BMC/management functions; blank page otherwise",text support,ACCEPTED_SUPPORT_ONLY
source/pdf-pages/user-guide-p013.png,official-technical-document,Huawei 1288H V5,4LFF front,4LFF rejected,"Inspected; 4LFF figure is incompatible and retained as exclusion evidence",variant contrast,REJECTED_FOR_MODEL
source/pdf-pages/user-guide-p014.png,official-technical-document,Huawei 1288H V5,8SFF and 10SFF front elevations,10SFF Figure 2-3 target,"Inspected at original detail; 10SFF is five columns by two rows with narrow right control area; 8SFF Figure 2-2 rejected",front geometry binding,ACCEPTED
source/pdf-pages/user-guide-p015.png,official-technical-document,Huawei 1288H V5,front controls,10SFF lower figure,"Inspected; identifies five 10SFF indicators/buttons and control positions",front feature binding,ACCEPTED
source/pdf-pages/user-guide-p016.png,official-technical-document,Huawei 1288H V5,indicator descriptions,family,"Inspected; no additional exterior geometry",text support,ACCEPTED_SUPPORT_ONLY
source/pdf-pages/user-guide-p017.png,official-technical-document,Huawei 1288H V5,indicator descriptions,family,"Inspected; confirms factory symbol meanings; no added lights invented",text support,ACCEPTED_SUPPORT_ONLY
source/pdf-pages/user-guide-p018.png,official-technical-document,Huawei 1288H V5,front ports,4LFF/8SFF,"Inspected; target front appears only on next page; 4LFF/8SFF images rejected",variant contrast,REJECTED_FOR_MODEL
source/pdf-pages/user-guide-p019.png,official-technical-document,Huawei 1288H V5,10SFF front elevation,10SFF,"Inspected; target has only one USB 3.0 and no VGA/DVD",front port binding,ACCEPTED
source/pdf-pages/user-guide-p020.png,official-technical-document,Huawei 1288H V5,rear elevation,three-slot family,"Inspected; Figure 2-10 identifies PCIe slots 1/2/3; optional FlexIO; two PSU positions; optional LOM inset",rear geometry binding,ACCEPTED
source/pdf-pages/user-guide-p021.png,official-technical-document,Huawei 1288H V5,rear indicator text,family,"Inspected; confirms PSU/management indicator roles; no new geometry",text support,ACCEPTED_SUPPORT_ONLY
source/pdf-pages/user-guide-p022.png,official-technical-document,Huawei 1288H V5,rear port elevation,family with optional LOM variants,"Inspected; fixed order VGA GE3 GE4 Mgmt serial two USB; optional LOM1/2 inset; PSU sockets",rear port binding,ACCEPTED
source/pdf-pages/user-guide-p023.png,official-technical-document,Huawei 1288H V5,rear port table,family,"Inspected; documents optional optical/electrical LOM choices and fixed ports",rear text binding,ACCEPTED
source/pdf-pages/user-guide-p024.png,official-technical-document,Huawei 1288H V5,rear port table,family,"Inspected; confirms one management port; two USB 3.0; two PSU sockets",rear text binding,ACCEPTED
source/pdf-pages/user-guide-p025.png,official-technical-document,Huawei 1288H V5,LOM text,family,"Inspected; no additional exterior geometry",text support,ACCEPTED_SUPPORT_ONLY
source/pdf-pages/user-guide-p054.png,official-technical-document,Huawei 1288H V5,environmental table,not appearance,"Inspected; no exterior facts used",not used,ACCEPTED_SUPPORT_ONLY
source/pdf-pages/user-guide-p055.png,official-technical-document,Huawei 1288H V5,dimension table,2.5-inch target,"Inspected; locks 43x436x708 mm and rejects 748 mm 3.5-inch depth",dimension binding,ACCEPTED
source/pdf-pages/user-guide-p056.png,official-technical-document,Huawei 1288H V5,rack/weight table,10SFF family,"Inspected; 482.6 mm is cabinet width constraint; not substituted for 436 mm chassis body",rack constraint,ACCEPTED
source/third-party/serverflow/10sff.webp,real-photograph,Huawei 1288H V5 10SFF,front-top,"exact 10SFF; ten closed faces; one specimen capacity sticker; no bezel","3000x2252 real specimen; primary front style/material; watermark and unit labels must be removed; logo/model text readable",front primary binding,ACCEPTED
source/third-party/serverflow/10sff-photo.webp,real-photograph,Huawei 1288H V5 10SFF,rear-top,"three-slot chassis; installed optional 2x10GE electrical LOM; FlexIO blank; dual 900W specimen AC","Real material/PSU/top source; optional LOM and wattage labels conflict with requested state and must not be copied",rear material/top support,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-01.webp,real-photograph,Huawei 1288H V5 10SFF,rear-top with PSU removed,"one PSU removed and placed in front","Inspected; proves PSU body/handle/label form only; installed state rejected",PSU geometry support,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-02.webp,real-photograph,Huawei 1288H V5 10SFF,front-top,"exact closed 10SFF","Inspected; second exact closed angle; strong top cover/latch/vent and front proportions",top primary/front support,ACCEPTED
source/third-party/serverflow/10sff-03.webp,real-photograph,Huawei 1288H V5 10SFF,open top front,"cover removed; internal components exposed","Inspected; validates seven fans/front backplane/side wall inside only; not an exterior face source",geometry support,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-04.webp,real-photograph,Huawei 1288H V5 10SFF,open top orthogonal,"cover removed","Inspected; 708 mm chassis and independent side folds visible; no exterior texture use",side geometry support,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-05.webp,real-photograph,Huawei 1288H V5 10SFF,internal close-up,"cover removed","Inspected; CPU/fan material only; not externally visible",not used,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-06.webp,real-photograph,Huawei 1288H V5 10SFF,internal close-up,"cover removed","Inspected; fan row/front fixed strip relationships only",geometry support,ACCEPTED_SUPPORT_ONLY
source/third-party/serverflow/10sff-07.webp,real-photograph,Huawei 1288H V5 10SFF,internal close-up,"cover removed","Inspected; labels and internal surfaces not exposed in final",not used,ACCEPTED_SUPPORT_ONLY
