face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,chassis body,1,1,1,full width,438x89 mm,centered,closed shell with shallow front fascia,ivory-white painted steel,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/zh_cn/FortiGate_1500D.pdf,verified
front,Fortinet/FortiGate 1500D badge,1,1,1,left of upper intake,small,left upper,flush printed badge,black/red/green factory print,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/QSG-p01.png,verified
front,upper circular intake perforations,1,approx 7,continuous field,left badge then broad field,dominant upper 55 percent,upper face,recessed dark holes or faithful relief,black holes in ivory/pale-green panel,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/QSG-p03.png,verified
front,USB mini-B management,1,1,1,first connector group,very small,lower far left,recessed port,dark metal/plastic,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/QSG-p03.png,verified
front,status LED stack,4,4,1,STATUS; ALARM; HA; POWER,very small,lower left beside console,flush lenses,green/dark indicators,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/QSG-p04.png,verified
front,console RJ45 plus USB-A stack,2,2,1,CONSOLE over USB,small,lower left after LEDs,recessed sockets,black/dark gray,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/QSG-p03.png,verified
front,MGMT RJ45 stack,2,2,1,MGMT1 over MGMT2,small,after console stack,recessed sockets with green indicator detail,black/dark gray,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/QSG-p03.png,verified
front,GE SFP cages ports 1-16,16,2,8,odd top even bottom in two 2x4 blocks,medium,center-left lower face,separate recessed cage mouths,silver metal cages with dark interiors,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/QSG-p03.png,verified
front,GE RJ45 ports 17-32,16,2,8,odd top even bottom in two 2x4 blocks,medium,center-right lower face,separate socket recesses,black sockets and silver borders,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/QSG-p03.png,verified
front,10GE SFP+ cages ports 33-40,8,2,4,odd top even bottom,medium,far-right lower face,separate recessed cage mouths,silver metal cages with dark interiors,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/QSG-p03.png,verified
front,pale-green wave and edge graphics,1,1,1,continuous,left-to-right face print,background-sized,front fascia,flush print,pale Fortinet green,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/QSG-p03.png,verified
rear,fan service trays,4,1,4,fan1 fan2 fan3 fan4,large square each,upper-left approximately 58 percent,separate recessed bays with black round grilles and vertical pull handles,white frames black grille/handle,/root/Project/rack-device-3d/Fortinet-FG1500D/source/user-row/row3-rear-enlarged.png,user-locked
rear,upper blank/service panel group,1,1,1,after four fans before PSU bank,medium-wide,upper center-right,inset panel with seams and fasteners,ivory-white painted steel,/root/Project/rack-device-3d/Fortinet-FG1500D/source/user-row/row3-rear-enlarged.png,user-locked
rear,hot-swap AC PSU modules,2,1,2,PSU1 then PSU2,vertical narrow,far-right upper/full height,separate projecting modules with upper vent lower IEC inlet and pull handle,white/silver frame black inlet/handle,/root/Project/rack-device-3d/Fortinet-FG1500D/source/user-row/row3-rear-enlarged.png,user-locked
rear,lower segmented vent and blank panels,4,1,4,two wide grilles then service/blank then narrower grille/blank,shallow rectangular,lower from left to before PSUs,separate inset panels with seams screws and opaque vents,ivory-white steel with dark grille,/root/Project/rack-device-3d/Fortinet-FG1500D/source/user-row/row3-rear-enlarged.png,user-locked
rear,visible fasteners,at least 12,mixed,mixed,per tray/panel corners,small,around module borders,raised/recessed screw heads,silver/dark steel,/root/Project/rack-device-3d/Fortinet-FG1500D/source/user-row/row3-rear-enlarged.png,user-locked
left,painted side wall,1,1,1,full side,554x89 mm,physical device left,closed panel with upper cover seam,ivory-white painted steel,/root/Project/rack-device-3d/Fortinet-FG1500D/source/third-party/melbourne-2181489.jpg,verified
left,side fasteners and rail/cover key features,about 8,1,mixed,non-mirrored exact order,small,upper and lower edge at several depths,small raised/recessed metal details,white/silver,/root/Project/rack-device-3d/Fortinet-FG1500D/source/third-party/melbourne-2181489.jpg,verified
left,regulatory label,0,0,0,none,none,none,none,none,/root/Project/rack-device-3d/Fortinet-FG1500D/source/third-party/melbourne-2181489.jpg,verified
right,painted side wall,1,1,1,full side,554x89 mm,physical device right,closed panel with upper cover seam,ivory-white painted steel,/root/Project/rack-device-3d/Fortinet-FG1500D/source/third-party/melbourne-2181491.jpg,verified
right,regulatory label block,1,1,1,near rear half,medium,upper-mid/rear half,flush factory label,gray/blue-black label on white,/root/Project/rack-device-3d/Fortinet-FG1500D/source/third-party/melbourne-2181491.jpg,verified
right,side fasteners and rail/cover key features,about 8,1,mixed,non-mirrored exact order,small,upper/lower edge and mid-side,small raised/recessed metal details,white/silver,/root/Project/rack-device-3d/Fortinet-FG1500D/source/third-party/melbourne-2181491.jpg,verified
top,top cover,1,1,1,full top,438x554 mm,centered,slightly inset lid with perimeter seam,ivory-white painted steel,/root/Project/rack-device-3d/Fortinet-FG1500D/source/third-party/amazon-renewed-front.jpg,verified
top,Fortinet wordmark,1,1,1,centered across width,large,front-half/center,flush print,black wordmark with red segmented O,/root/Project/rack-device-3d/Fortinet-FG1500D/source/third-party/amazon-renewed-front.jpg,verified
top,cover fasteners,small set,mixed,mixed,asymmetric edge positions,small,side edges and rear area,flush/recessed screw heads,white/silver,/root/Project/rack-device-3d/Fortinet-FG1500D/source/third-party/melbourne-2181489.jpg,verified
bottom,conservative sheet-metal underside,1,1,1,full bottom,438x554 mm,centered,closed panel preserving verified edge silhouette,ivory-white painted steel,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/FIPS-p35.png,generic-bottom-fallback
bottom,unsupported detail,0,0,0,no logo label vent feet holes rail or invented fasteners,none,none,none,none,/root/Project/rack-device-3d/Fortinet-FG1500D/source/pdf-pages/FIPS-p35.png,generic-bottom-fallback
