face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,status_and_identity_column,1,1,1,"HUAWEI; SYS; MST; STAT; SPEED; STACK; MODE/ID; CE5850-48T4S2Q-EI",about_4_percent_width,far_left,slightly_recessed_controls,"silver panel; black text; small green/gray LEDs",https://info.support.huawei.com/info-finder/imagelib/getPreviewImages?domain=0&lang=en&partNumber=02359104,verified
front,GE_RJ45_ports,48,2,24,"four blocks of 12; block ranges 1-12 13-24 25-36 37-48",dominant,center_left_to_center_right,recessed_real_cages,"silver dividers; black cavities; blue numbering strip",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
front,RJ45_block_frames,4,1,4,"each frame contains 2x6 RJ45",equal_blocks,between_status_and_SFP,recessed_with_raised_frame,"silver metal/plastic",https://info.support.huawei.com/info-finder/imagelib/getPreviewImages?domain=0&lang=en&partNumber=02359104,verified
front,10GE_SFP_plus_ports,4,2,2,"1/2 top pair then 3/4 bottom pair per source orientation",medium,near_right,recessed_cages,"black cages; yellow header; silver latches",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
front,40GE_QSFP_plus_ports,2,2,1,"port 1 above port 2",medium,far_right,recessed_cages,"black cages; yellow header; gray latch graphics",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
front,HI_breakout_LED_row,0,0,0,absent,none,under_QSFP,flush,"absent on EI",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
front,port_side_perforated_bevel_band,1,1,1,continuous,full_width,above_port_face,deep_perforated_bevel,"dark gray perforated steel",https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE5850-48T4S2Q-EI_pic.zip&picture_name=rear_top.png,verified
front,rack_ears,2,1,2,left_then_right,separate_narrow_extensions,port_plane,thin_separate_geometry_with_real_openings,"black stamped steel",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified_mechanical_accessory
rear,PAC_150WA_AC_PSU,2,1,2,"PWR1 far left; PWR2 far right",large_outer_modules,outer_ends,removable_blocks_with_recessed_IEC_and_latches,"black painted steel; IEC C14; white PAC-150WA text",https://info.support.huawei.com/info-finder/imagelib/getPreviewImages?domain=0&lang=en&partNumber=02359104,verified
rear,FAN_40EA_F,2,1,2,"FAN1 left of management; FAN2 right of management",large_inner_modules,inner_left_and_inner_right,removable_blocks_with_handle_and_honeycomb_depth,"black grilles; chrome handles; FAN-40EA-F text",https://info.support.huawei.com/info-finder/imagelib/getPreviewImages?domain=0&lang=en&partNumber=02359104,verified
rear,honeycomb_fan_grilles,4,1,4,"two grille fields per fan module",equal,within_two_fan_modules,perforated_recess,"black open honeycomb",https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE5850-48T4S2Q-EI_pic.zip&picture_name=front.png,verified
rear,central_management_block,1,1,1,"Console RJ45 above ETH RJ45; serial pull tab and LEDs; USB vertical",narrow_center,center,recessed_ports_and_protruding_pull_tab,"black/gray panel; red Console and ETH labels; Huawei logo",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
rear,airflow_configuration,1,1,1,"both FAN-40EA-F; power-side intake to port-side exhaust",appliance_wide,power_side_to_port_side,physical_fan_modules,"black modules with F suffix",https://carrier.huawei.com/~/media/CNBG/Downloads/Product/Fixed%20Network/carrierip-dcswitches/HUAWEI%20CloudEngine%205800%20Switch%20Datasheet.pdf,verified
left,side_attachment_holes_port_side,3,1,3,"three exact mounting points",small,near_port_end,recessed_or_through,"dark gray steel",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
left,side_attachment_holes_power_side,4,2,2,"four exact mounting points",small,near_power_end,recessed_or_through,"dark gray steel",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
left,side_panel_fasteners_and_label,verified_per_diagram,1,mixed,"distinct from right; small warning label near center",small,distributed,flush_or_recessed,"dark gray steel; white/yellow label",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
right,side_attachment_holes_port_side,3,1,3,"three exact mounting points",small,near_port_end,recessed_or_through,"dark gray steel",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
right,side_attachment_holes_power_side,4,2,2,"four exact mounting points",small,near_power_end,recessed_or_through,"dark gray steel",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
right,grounding_screw,1,1,1,"ground symbol and screw",small,mid_lower,protruding_screw,"silver screw; yellow/black ground label",https://support.huawei.com/enterprise/zh/doc/EDOC1000019242/53f4bcaa,verified
top,main_cover,1,1,1,"plain cover with perimeter seam",full_face,entire_top,flush_sheet_metal,"medium gray fine-grain steel",https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE5850-48T4S2Q-EI_pic.zip&picture_name=rear_top.png,verified
top,port_side_perforated_band,1,1,1,"continuous band along port-side edge",narrow_full_width,front_edge,recessed_perforation,"dark gray",https://info.support.huawei.com/info-finder/imagelib/getImgByNames4web?package_name=CE5850-48T4S2Q-EI_pic.zip&picture_name=rear_top.png,verified
bottom,conservative_sheet_metal_fallback,1,1,1,"no identifying details",full_face,entire_bottom,flush,"medium-dark gray steel matching exact side material",documented_search_log_in_evidence.md,generic_bottom_fallback

