face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,review_status,final_evidence
front,chassis body,1,1,1,body behind all front modules,434.6mm body width x 42.9mm height,center,recessed behind carriers,black/silver steel,https://support.hpe.com/hpesc/public/docDisplay?docId=a00115362en_us&page=GUID-A907F1AD-6041-4CD5-9C29-47DF3AC366A9.html,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,rack ears,2,1,2,left ear then right ear,approx 24mm lateral extension each,outside body,front-projecting separate parts,black/silver molded-metal assemblies,source/originals/user-row5-front.png,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,rack-ear through holes,2,1,2,left and right,one dominant circular hole per ear,ear centers,true cutouts,dark open holes with silver rim,source/originals/user-row5-front.png,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,left drive support pull-tab module,1,1,1,screen left,ear-width vertical black tab,left ear,outset/hinged look,black with white Drive Bay ID marking,source/third-party/piospartslap-22257-8SFF-view2.jpg,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,SFF carrier fronts,8,mixed,5,six carriers in left 3 columns x 2 rows; two carriers in lower UMB row; no upper UMB carriers,five-column span with official standard 6+2 population,front-left through lower media bay,individually recessed carriers with handles,separate black Smart Carrier-style plastic/metal with dark labels,source/originals/HPE-maintenance-8SFF-front-components.png,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,carrier handles/latches,8,mixed,5,same official 6+2 order,one handle/latch assembly per carrier,on carrier faces,separate shallow geometry,black/dark gray with subdued HPE accents,source/third-party/piospartslap-22257-8SFF-view2.jpg,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,Universal Media Bay upper blank,1,1,1,optical/display blank above the two lower SFF carriers,occupies upper right media bay,right of left 3x2 carrier block,recessed blank,matte black,source/originals/HPE-maintenance-8SFF-front-components.png,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,front control LED stack,1,1,1,power; health; NIC; UID,narrow vertical stack,right control strip,flush/raised indicators,black strip with green/blue indicators,source/originals/user-row5-front.png,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,USB3 port,1,1,1,above iLO service port,narrow,right control strip,recessed connector,black/blue,https://support.hpe.com/hpesc/public/docDisplay?docId=a00115362en_us&page=GUID-A907F1AD-6041-4CD5-9C29-47DF3AC366A9.html,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
front,iLO service port,1,1,1,below USB3,narrow,right control strip,recessed connector,black,https://support.hpe.com/hpesc/public/docDisplay?docId=a00115362en_us&page=GUID-A907F1AD-6041-4CD5-9C29-47DF3AC366A9.html,verified,MATCHED,final/comparisons/three/front/sheet.png; final/comparisons/babylon/front/sheet.png
