local_path,url,accessed_at,authority,source_class,visual_origin,face_or_angle,configuration,primary_identity_style_reference,proves,limitations
source/originals/user-second-screenshot.png,,2026-08-23,user,user-lock,real-screen-capture,table context,"row 12 R730/3.5-inch",yes,requested row and front/rear pairing,small embedded elevations
source/originals/user-original-screenshot.png,,2026-08-23,user,user-lock,real-screen-capture,adjacent table context,"first supplied screenshot; R730 row not present",no,confirms nearby Dell rows and that it is not the target-row source,target R730 row is in user-second-screenshot.png
source/originals/user-row12-r730-lff.png,,2026-08-23,user,user-lock,real-screen-capture,front and rear,"R730 8LFF paired row",yes,delivery configuration lock,101-pixel row height
source/originals/Dell-PowerEdge-R730-Owners-Manual.pdf,https://dl.dell.com/topicspdf/poweredge-r730-dsms_owners-manual_en-us.pdf,2026-08-23,official,manual,technical-diagram,front/rear/top/dimensions,"R730 including 8LFF option",no,identity dimensions feature order,official direct route was 403 so exact document was preserved through public mirror
source/originals/Dell-PowerEdge-R730-R730xd-Technical-Guide-v1-7.pdf,https://i.dell.com/sites/csdocuments/Shared-Content_data-Sheets_Documents/en/us/Dell-PowerEdge-R730-and-R730xd-Technical-Guide-v1-7.pdf,2026-08-23,official,technical-guide,official-render,front/rear/dimensions,"R730 and explicitly separated R730xd",no,R730 standard rear and dimensional inclusion rules,contains nearby variants that are excluded
source/originals/Dell-PowerEdge-R730-Spec-Sheet.pdf,https://i.dell.com/sites/doccontent/shared-content/data-sheets/en/documents/dell-poweredge-r730-spec-sheet.pdf,2026-08-23,official,spec-sheet,technical-document,dimensions,"R730",no,2U and body W/H/D,no six-face imagery
source/third-party/ebay-387258968614-2.webp,https://www.ebay.com/itm/387258968614,2026-08-23,secondary,marketplace,real-photograph,front,"R730 8LFF with eight carriers and optical drive",yes,front identity material style and counts,seller watermark/background removed only by generation
source/third-party/ebay-387258968614-4.webp,https://www.ebay.com/itm/387258968614,2026-08-23,secondary,marketplace,real-photograph,rear,"standard R730; four RJ45; two 750W AC PSUs",yes,rear identity material style port and slot order,seller watermark/background
source/third-party/ebay-387258968614-5.webp,https://www.ebay.com/itm/387258968614,2026-08-23,secondary,marketplace,real-photograph,top,"R730 8LFF",yes,top cover latch rib labels rear steps,seller watermark
source/third-party/amazon-B08D2B1NK7-4.jpg,https://manuals.plus/asin/B08D2B1NK7,2026-08-23,secondary,retailer,real-photograph,front-right three-quarter,"R730 8LFF",yes,right side seam holes studs and front geometry,not orthographic
source/third-party/amazon-B08D2B1NK7-5.jpg,https://manuals.plus/asin/B08D2B1NK7,2026-08-23,secondary,retailer,real-photograph,rear,"standard R730; four RJ45; two AC PSUs",no,rear group order and top edge,PSU fan labels not legible
source/third-party/youtube-OSV3PdYySjM-t060.png,https://www.youtube.com/watch?v=OSV3PdYySjM,2026-08-23,secondary,video,real-photograph,front/top group,"8 SFF; 8 LFF; 16 SFF explicitly separated",no,center server is exact 8LFF,wide frame
source/third-party/youtube-OSV3PdYySjM-t200.png,https://www.youtube.com/watch?v=OSV3PdYySjM,2026-08-23,secondary,video,real-photograph,front group,"8LFF explicitly called out",no,8LFF layout,hand partially occludes
source/third-party/youtube-OSV3PdYySjM-t230.png,https://www.youtube.com/watch?v=OSV3PdYySjM,2026-08-23,secondary,video,real-photograph,rear,"R730 standard rear; 4 RJ45; two 1100W AC PSUs",no,rear slot/port/PSU geometry,PSU wattage differs from locked photographed rear
source/third-party/youtube-CVg_X-OO9Kc-t90.png,https://www.youtube.com/watch?v=CVg_X-OO9Kc,2026-08-23,secondary,video,real-photograph,front/top,"same physical R730 8LFF",no,front openings ears top material,three carriers absent and not used for final installed count
source/third-party/youtube-CVg_X-OO9Kc-t420.png,https://www.youtube.com/watch?v=CVg_X-OO9Kc,2026-08-23,secondary,video,real-photograph,rear/top-open,"same physical R730 8LFF",yes,both side-wall upper edges rear risers and AC PSUs,top cover removed
source/third-party/youtube-CVg_X-OO9Kc-t450.png,https://www.youtube.com/watch?v=CVg_X-OO9Kc,2026-08-23,secondary,video,real-photograph,rear/top-open,"same physical R730 8LFF",no,left/right side-wall differences and rear relief,top cover removed
source/third-party/youtube-CVg_X-OO9Kc-t510.png,https://www.youtube.com/watch?v=CVg_X-OO9Kc,2026-08-23,secondary,video,real-photograph,rear,"same physical R730 8LFF; four RJ45; two 750W AC PSUs",no,straight rear and PSU rating,some slot openings lack blanks
source/third-party/ebay-182270992348-2.webp,https://www.ebay.com/itm/182270992348,2026-08-23,secondary,marketplace,real-photograph,top,"R730 8x3.5 bare chassis",no,top material and cover layout,packing foam occludes edges
