face,feature,expected_count,state,geometry_requirement,source_lock,qa_priority,final_status,three_actual_glb_comparison,babylon_actual_glb_comparison,final_static_load_evidence,rotation_evidence,review_note
front,rack ears,2,present,separate protruding geometry with mounting holes,exact front sources,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,LFF carrier bays,4,installed,deep recessed bay frames and separate carrier handles,exact 4LFF sources,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,carrier ventilation fields,4,present,modeled perforation/vent geometry or dark inset plus repeated geometry,exact 4LFF sources,high,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,Huawei flower mark and HUAWEI wordmark,1,present,retained as evidence-matched marking,exact front sources,high,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,1288H V5 product marking,1,present,retained without unit serial information,exact front sources,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,front controls/status cluster,1,present,separate button/indicator/USB geometry at right ear/front edge,official and exact front sources,high,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,external PCIe/riser openings,3,closed,three distinct recessed/perforated rear faces,exact rear sources,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,FlexIO/LOM area,1,present,separate port and cage geometry in evidence order,official rear diagrams and exact rear,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,service I/O group,1,present,VGA/USB/management/serial shapes in evidence order,official rear diagrams,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
rear,hot-swap AC PSUs,2,installed,separate PSU bodies with fan grille/C14 inlet/handle and latch,exact dual-900W specimen,critical,PASS,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/three/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/matched-camera/babylon/rear/comparison.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/rear.png,Huawei-RH1288V5-3.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
