face,component,expected_count,viewer_a_standard,viewer_a_web,viewer_b_standard,viewer_b_web,representation,verdict,notes
front,front rack ears,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,control strip,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,Dell logo,1,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,power button,1,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,VGA connector,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,LCD menu buttons,3,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,PowerEdge R730 badge and LCD,1,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,optical drive slot,1,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,vFlash slot,1,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,USB ports including iDRAC Direct,2,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,square-hole intake grille,1,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,2.5-inch hot-plug carriers,16,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,carrier status lights,32,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,carrier honeycomb grilles,16,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,carrier pull handles,16,PASS,PASS,PASS,PASS,visible geometry plus source-locked photographic texture/relief,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
front,slot numbers,16,PASS,PASS,PASS,PASS,source-locked photographic texture on supporting exterior geometry,PASS,Reviewed against locked face/reference evidence and both actual-GLB render paths.
