face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,final_status,three_actual_glb_comparison,babylon_actual_glb_comparison,final_static_load_evidence,rotation_evidence,review_note
front,mounting ears,2,1,2,Huawei ear; chassis; RH1288 V3/Intel ear,23.3 mm nominal extension each,extreme left and right,separate front-only geometry,black textured metal/plastic with lime lower edge,https://info.support.huawei.com/computing/tools/gallery/enterprise/intelligent-server/detail?currentProduct=37&lang=en,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,SFF carrier fronts,8,2,3 upper; 5 lower,slots 0-5 form three top/bottom pairs from left to right; slots 6-7 continue on the lower row beneath the right service area,equal 2.5-inch carriers,six carriers in three paired columns at left plus two lower-right carriers,individual recessed bay and protruding latch geometry,black honeycomb grille; gray latch; thin lime status strip,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,open or missing carriers,0,0,0,none,none,none,none,none,qa/reference/user-row11-front.png,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,security bezel,0,0,0,none,none,none,none,none,qa/reference/user-row11-front.png,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,built-in DVD drive,1,1,1,above lower-right carriers,slim,upper right service block,recessed slot and eject button geometry,black/gray optical drive face,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,fault diagnosis LED,1,1,1,before health/network indicators,small,upper right service block,flush/recessed,dark smoked window with readable digits only if source proves,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,network link indicators,4,1,4,ports 1-4,small,operator strip,flush dark windows,dark/green indicator lenses,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,NMI/power/UID controls,3,1,3,NMI then power then UID,small,operator strip,recessed pinhole and separate buttons,black/gray with power/UID marks,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,USB 2.0 ports,2,1,2,before VGA,small,far right service area,recessed connector geometry,black openings with silver shells,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
front,VGA DB15 port,1,1,1,after USB,medium,lower far right service area,recessed D-sub geometry,blue dielectric; silver shell,https://device.report/m/7009a59d0542b27d0a93809307e88a251b2cc3ea1245bace9872a925196f6af3.pdf,verified,PASS,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/three/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/matched-camera/babylon/front/comparison.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/static-40-loads/three/standard/front.png,Huawei-RH1288V3-2.5inch/qa/rotation-review-20260827/after/rotation-manifest.json,"Count, order, orientation, placement, relief, material, opacity and silhouette checked against the locked row and final actual GLBs."
