path,classification,claimed_model,configuration,face_or_angle,inspection_notes,intended_role
source/originals/user-device-list.png,user-provided-screenshot,RH1288 V3,"row 11: 2.5-inch; eight SFF carrier faces; four-GE rear; dual AC PSU","front and rear thumbnails","Visually inspected at original detail. Row count starts with QFX5110; row 11 is RH1288V3/2.5-inch. Row 10 is the adjacent 3.5-inch variant and was excluded.",identity binding
qa/reference/user-row11-front.png,user-provided-screenshot-crop,RH1288 V3,"8x2.5-inch; all carrier fronts closed; no bezel",front orthographic thumbnail,"Low resolution but proves the asymmetric 3-over-5 carrier layout, right service block and branding orientation. No seller alterations visible.",front configuration binding
qa/reference/user-row11-rear.png,user-provided-screenshot-crop,RH1288 V3,"four-GE FlexIO; dual side-by-side AC PSUs",rear orthographic thumbnail,"Low resolution but four adjacent RJ45 service ports are visible; excludes two-port 10GE and optical variants. PSU layout agrees with official guide.",rear configuration binding
source/originals/huawei-gallery-rh1288-v3-01.jpg,official-photograph,RH1288 V3,"8x2.5-inch standard carriers; no bezel",front three-quarter plus physical right side/top,"1280x720 official gallery image; confirms exact shell, front ears, top latch/seams/labels and physical-right side details. White background; no seller alteration.",front/right/top geometry and photographic style
source/originals/huawei-gallery-rh1288-v3-02.jpg,official-photograph,RH1288 V3,"two hot-swap AC PSU physical layout; optical FlexIO differs from requested GE card",rear three-quarter plus physical left side/top,"1280x720 official gallery image; exact chassis, side and top material. NIC face is not the requested four-GE option and is excluded from rear port identity.",left/top material and geometry; rear shell/PSU support only
source/third-party/carrierone-huawei-rh1288-v3-8sff.jpg,real-photograph,RH1288 V3,"8x2.5-inch standard carriers; no bezel",front direct,"560x140 straight photograph. Exact requested front layout; compressed but no watermark or seller sticker on product.",primary front identity/style
source/third-party/lnc-rh1288-v3-rear.jpg,real-photograph,RH1288 V3,"four-GE FlexIO; dual AC PSUs",rear direct,"800x600 product photograph. Exact requested visible rear option, full-height/half-height blanks and two AC PSU faces. White surrounding background only.",primary rear identity/style
source/third-party/qg-rh1288-v3-rear.jpg,real-photograph-or-processed,RH1288 V3,"four-GE FlexIO; dual AC PSUs",rear direct,"800x800 lower-detail independent copy; cross-checks LNC configuration and source ordering.",rear supporting cross-check
source/third-party/khabtelecom-rh1288-v3.jpg,official-derived-product-render,RH1288 V3 H12M-03,"8-SFF; SM212; 2x750 W AC",front-right three-quarter,"970x1192 clean seller image derived from exact Huawei photography. Product listing explicitly specifies SM212 and dual 750 W AC. No use as direct rear texture.",configuration and top/right geometry support
source/third-party/carrierone-huawei-v3-1u-iso.jpg,official-render,RH1288 V3 family 1U,"8-SFF front shell",front-right three-quarter,"637x388 CGI-like clean render; exact geometry lead only, not photographic style authority.",top/right geometry support
source/pdf-pages/whitepaper-physical-011-front.png,technical-diagram,RH1288 V3,"8Bay standard SFF",front elevation,"Rendered at 220 dpi and inspected. Figure 4-1 proves eight drives, DVD, diagnostic/control strip, USB, VGA and labels.",front technical binding
source/pdf-pages/whitepaper-physical-013-rear-10ge-electrical.png,technical-diagram,RH1288 V3,"two-port 10GE electrical option",rear elevation,"Inspected and rejected for requested rear NIC; retained to document excluded variant.",rejected rear option
source/pdf-pages/whitepaper-physical-014-rear-optical-ge.png,technical-diagram,RH1288 V3,"Figure 4-5 two-port 10GE optical and Figure 4-6 four-GE",rear elevation,"Rendered at 220 dpi and inspected. Bottom Figure 4-6 is the requested four-GE topology.",rear technical binding
source/pdf-pages/whitepaper-physical-022-structure.png,technical-diagram,RH1288 V3,"closed chassis assembly relationship",exploded view,"Inspected to confirm body shell, cover, fan-module count and rear module placement; does not define exterior color alone.",geometry support
source/pdf-pages/whitepaper-physical-077-dimensions.png,technical-document,RH1288 V3,"2.5-inch chassis",dimension table,"Inspected; Table 9-1 gives 43 x 436 x 708 mm and two-AC PSU ratings.",dimension binding
source/third-party/generic-bottom-dell-r610.jpeg,real-photograph-generic,Dell R610,"generic 1U underside only",bottom oblique,"Inspected solely for galvanized sheet-metal grain and conservative folded-edge character. Dell vents, labels, feet, cutouts and PSU placement are forbidden.",generic bottom material reference
