path,sha256,visual_origin,claimed_model_configuration,face_or_angle,inspection_notes,imagegen_role,status
source/originals/user-configuration-lock.png,00861cf47eb85ee4f20fc3dc3fc850820368df4e3db7b2721b3226dfca8c1921,user-screenshot,"DELL R240/3.5-inch row among other devices",front+rear thumbnails,"Fifth readable device row is 1U R240 3.5-inch; four horizontal LFF modules; standard single-PSU rear; resolution only locks row identity and excludes SFF/other models",configuration lock,accepted
source/originals/user-row05-lock-upscaled.png,b06c9c4ec5e42ba2db48ea4d4c523816fa9e6205e2ec54b166a84b9a8e31d1b0,derived-user-screenshot,"same exact row enlarged without factual pixel creation",front+rear thumbnails,"Confirms row text and overall front/rear thumbnails; not high enough for port geometry or photographic style",configuration lock,accepted-supporting
source/originals/dell-official-r240-4x35-above-lf.png,8e25a5f9361e96d6f4ee5a88aff96f44d15533a66ba2e9749e1c1dc6d842f9a7,official-render,"Dell CDN R240 4x3.5 PSD response",above-left-front,"Downloaded response visibly contains duplicated/layer-composited front equipment including a false second drive row; not a valid single appliance photograph",none,rejected-source-malformed
source/originals/dell-official-r240-4x35-rear.png,c58212ee87371a172c84c1ad90e59455cee836121d2c4b005eebfcc21ca1f49f,official-render,"Dell CDN R240 4x3.5 PSD response",rear,"Downloaded response repeats/duplicates the rear face vertically; not a valid single appliance face",none,rejected-source-malformed
source/originals/dell-official-r240-4x35-internal-top.png,fb3dbaa12b117aa89b58c5190d8680847c2c98c4f651a4b821981ce5bf7ea48d,official-render,"Dell CDN R240 4x3.5 internal-top",open top,"Usable exact internal top; four fan modules, fixed PSU, drive area, shell edges and riser are clear; alpha background; not an exterior top texture",supporting geometry,accepted-supporting
source/pdf-pages/technical-guide-p001.png,82e31eab6b5159c7a4e3442197e3738ef810d27edb60abca3fc6ddc0a21f222d,technical-document,"Dell EMC PowerEdge R240 E57S/E57S001",cover,"Document identity and June 2021 Rev A03 are readable",document identity,accepted
source/pdf-pages/technical-guide-p011.png,1656a89e3b31747377674770e625e16433ba582107880e7c9b7d82c61560bb45,technical-document,"R240 4x3.5 hot-swap and cabled variants",front diagrams,"Top figure is requested hot-swap carrier face; lower cabled face is visibly different and excluded; labels locate control panels optical position information tag and drives",binding technical geometry,accepted
source/pdf-pages/technical-guide-p012.png,2972250efaf82270562ac82d8f37172446d9e31c29d06c726dcd63ccd6ba8e2e,technical-document,"R240 standard rear",rear diagram,"All thirteen numbered rear features and their order are legible; one PSU; no rear ears; two PCIe blanking plates",binding technical geometry,accepted
source/pdf-pages/technical-guide-p013.png,d9eb5538e4053bb1ead88859aa517243a8f728a38b8ab76a7d0fd7672243e750,technical-document,"R240 4x3.5 hot-swap",open top,"Exact hot-swap backplane interior; one cabled AC PSU; expansion riser; fan count four",supporting assembly geometry,accepted
source/pdf-pages/technical-guide-p014.png,3ec66108c88e28ba5da4f34f48ff208b752619061b4a1f5b9694c75033d5c077,technical-document,"R240 4x3.5 cabled",open top,"Cabled-drive variant displayed and excluded from front identity; still corroborates shared fixed PSU and four-fan count",variant exclusion,accepted-supporting
source/pdf-pages/technical-guide-p024.png,7da1c4c4433d195986c82acd50924844dbdbaa41dece7a3edec60227a884a085,technical-document,"R240 power subsystem",PSU specification,"States non-redundant AC-DC cable supply and 250 W Bronze/450 W Platinum options",binding configuration,accepted
source/pdf-pages/technical-guide-p031.png,b8954af61666963f57033484bcd29089f80cbb6c9266df642764bb5ec0199dc5,technical-document,"R240 chassis",top+side dimension diagram,"Xa/Xb/Y/Za/Zb/Zc scope shown; side outline proves straight closed silhouette and no bottom feet in dimension envelope",binding dimensions,accepted
source/pdf-pages/technical-guide-p032.png,4a8e18e0b887f81c05161c0cf9a6b73c1bd63b58520255ddde09cc667711e849,technical-document,"R240 drive specification",dimension continuation+drive table,"Without-bezel Za=22 mm and 4x3.5 hot-swappable drive option are readable",binding dimensions/configuration,accepted
source/third-party/etb-r240-4lff-front.jpg,bdb128624065a4d4114877457cd21bc534a5ccb6c3adc8a3d3177b90888dc8d2,real-photograph,"R240 4LFF hot-swap; four drives installed; bezel absent",near-front with slight top,"Four carrier count/handles/orange rings; rack ears; right control panel; tag; surface wear and color are clear; white studio background only",PRIMARY BINDING REAL FRONT PHOTO,accepted-primary
source/third-party/etb-r240-4lff-angle.jpg,583ef9be9c7a76c471fd8eba09b8e6c782a74da84e334b821dc513142831f65f,real-photograph,"R240 4LFF hot-swap; bezel absent",front-right three-quarter,"Physical right side visible with independent rail pins punched holes and front seam; top latch/vent and front relief visible; white studio background excluded",PRIMARY BINDING RIGHT/THREE-QUARTER PHOTO,accepted-primary
source/third-party/etb-r240-4lff-rear.jpg,2af94d100d9c479d9c9dc2058836c8a114fcfbeccdbf7398938af517ba1b8d4e,real-photograph,"R240 standard rear; one fixed PSU",rear with top,"Matches exact I/O/blanking/PSU layout; small but useful material and depth cross-check",supporting rear geometry/material,accepted-supporting
source/third-party/nsl-r240-4lff-back.jpg,11f0e4b38caff7780682640bcd507cd1f9957d17866e1acc58fbd998d1ad43d4,real-photograph,"R240 4LFF hot-swap listing; one PSU; blank PCIe slots",straight rear,"Best direct rear face: serial/VGA/iDRAC/NIC/USB/ID/CMA; blue latch; two blanking plates; lower vents; IEC/BIST/twin exhaust; no seller stickers",PRIMARY BINDING REAL REAR PHOTO,accepted-primary
source/third-party/nsl-r240-4lff-top.jpg,5b1efff18e965d987ec979b5adccf00fda102231ca549e4f073e6612b8b553bf,real-photograph,"R240 4LFF hot-swap; no bezel",front-high/top,"Clear galvanized top cover latch seam stampings sparse holes rear vent band and readable R240 pull tag; perspective and white backdrop",PRIMARY BINDING TOP PHOTO,accepted-primary
source/third-party/nsl-r240-4lff-up.jpg,69fc947619572503d237bc5d43530285bc1792087cd8e73dbb16f2895c494406,real-photograph,"R240 4LFF exact listing",open top,"Exact chassis interior and shell margins; low detail but corroborates four fan modules and fixed PSU",supporting geometry,accepted-supporting
source/third-party/techmike-r240-front.jpg,876c99590545d7306cbc1d4cb279c92bd3f801f9d6e812d7cfa2d4e9fa1360bd,real-photograph,"R240 4LFF; four carrier fronts; no bezel; 250 W fixed PSU listing",front-high/top,"Top cover dominates; front carrier and right pull-tag details clear; large TECHMIKENY reseller mark on cover must be removed; studio shadow excluded",supporting top/front material,accepted-supporting
source/third-party/techmike-r240-rear.jpg,ea0bcfea00ef4d5cc0fa4a1e33acc586cf42c6cef45fc922da2cb65969933a00,real-photograph,"R240 4LFF exact listing",rear-high/top,"Top/rear exterior; standard single PSU and blanking layout; TECHMIKENY mark is reseller modification and excluded",supporting top/left-shell/rear,accepted-supporting
source/third-party/techmike-r240-closed-quarter.jpg,2d3f86229b2317a5653e9f607fd682913122cee5c33ee71f622b42a7a7573eb6,real-photograph,"R240 4LFF exact listing",front-right three-quarter,"Confirms physical-right shell and front/top parallax; TECHMIKENY top mark excluded",supporting right/top,accepted-supporting
