face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,2.5-inch vertical drive carriers,24,1,24,"MB1-1..MB1-6; MB2-1..MB2-6; MB3-1..MB3-6; MB4-1..MB4-6",equal narrow carriers,between control panels,recessed bays with protruding latch/handle,"black molded plastic; gray/silver latch caps; tiny green/amber indicator windows",https://dl.dell.com/topics//c6320_pub/images/GUID-C64FBEEF-F8AD-4949-9EAE-50D79A50B12D-low.png,VERIFIED
front,system-board drive groups,4,1,4,system boards 1-4,each six carriers,across face,group seams slightly deeper than carrier seams,black/silver,source/originals/official-front-2.5-low.png,VERIFIED
front,left control panel,1,1,1,"Dell mark; board 1/2 power+ID pairs",control-panel width,far physical left beside drives,flush panel with inset circular buttons,black plastic with white Dell/text and blue/green indicators,source/third-party/ebay-maravi-c6300-1.webp,VERIFIED
front,right control panel,1,1,1,"board 3/4 power+ID pairs",control-panel width,far physical right beside cover,flush panel with inset circular buttons,black plastic with white numerals/icons and green/amber indicators,source/third-party/ebay-maravi-c6300-1.webp,VERIFIED
front,non-usable drive cover,1,1,1,after bay 24 before right control panel,narrow vertical strip,physical right of carrier row,recessed flush cover,black/dark gray,source/originals/official-front-2.5-low.png,VERIFIED
front,front mounting ears,2,1,2,left then right,narrow lateral extensions,front plane only,separate 2-mm steel flange geometry,dark graphite steel,source/third-party/ebay-maravi-c6300-1.webp,VERIFIED
front,large rack mounting holes,2,1,2,left and right,large circular openings,lower half of each front ear,true geometric through-holes,silver rim / open hole,source/third-party/ebay-maravi-c6300-1.webp,VERIFIED
front,small ear fasteners and holes,8,2,4,"four per ear in vertically offset pattern",small,front ears,geometric/recessed,silver/black,qa/reference/user-front-thumb.png,VERIFIED
rear,PowerEdge C6320 sleds,4,2,2,"screen top-left=system 3; top-right=system 1; bottom-left=system 4; bottom-right=system 2",each approximately one half body width and one half 2U height,to physical left of PSU column,separate recessed sled trays with perimeter seams,galvanized silver steel + black release parts,source/pdf-pages/owners-manual-p13.png,VERIFIED
rear,shared 1400 W AC PSU modules,2,2,1,PSU2 top then PSU1 bottom,each one half 2U height,screen far left / device physical right,hot-plug blocks protruding slightly,silver/black with orange release/indicator,source/pdf-pages/owners-manual-p16.png,VERIFIED_AC
rear,PSU fan guards,2,2,1,top then bottom,large circular,screen left of each PSU,true recessed fan and raised wire guard,black fan/silver guard,source/third-party/itinstock-c6300-4xc6320.jpg,VERIFIED
