face,component,expected_count,glb_counterpart,render_evidence,status,notes
front,front mounting wing housings,2,"front left/right wing housing meshes",viewer-a/b standard/web front and front-quarter,PASS,"front-only; no rear ears"
front,SFF carrier assemblies,10,"10 named SFF carrier meshes plus source-locked face",viewer-a/b standard/web front and front-quarter,PASS,"2 rows × 5 columns"
front,carrier pull handles,10,"10 named carrier pull-handle meshes",viewer-a/b standard/web front and front-quarter,PASS,"one per carrier"
front,left control strip,1,"control-strip body; 3 button meshes; micro-USB recess; locked texture",viewer-a/b standard/web front,PASS,"DELL and PowerEdge R630 text reads normally"
front,right Intel badge,1,"source-locked front texture on physical right wing",viewer-a/b standard/web front/front-right,PASS,"not mirrored"
front,bezel,0,"no bezel node or mesh",all front renders,PASS,"bezel absent"
rear,LP PCIe blanking plates,3,"3 named rear LP PCIe blanking assembly meshes plus locked texture",viewer-a/b standard/web rear and rear-quarter,PASS,"three-riser chassis"
rear,system ID button and connector group,1,"named system-ID relief plus locked rear texture",viewer-a/b standard/web rear,PASS,"far-left rear-screen group"
rear,iDRAC8 Enterprise RJ45,1,"named recessed mesh behind exact photographic face",viewer-a/b standard/web rear,PASS,"correct order before DB9"
rear,DB9 serial,1,"named recessed mesh behind exact photographic face",viewer-a/b standard/web rear,PASS,"teal/metal D-shell visible"
rear,VGA,1,"named recessed mesh behind exact photographic face",viewer-a/b standard/web rear,PASS,"blue HD15 visible"
rear,USB 3.0 ports,2,"2 named recessed meshes behind exact photographic face",viewer-a/b standard/web rear,PASS,"vertical stack"
rear,quad RJ45 NDC ports,4,"4 named recessed meshes behind exact photographic face",viewer-a/b standard/web rear,PASS,"four separate RJ45 cavities; alternate SFP+ NDC absent"
rear,AC PSU modules,2,"2 EPP 1100W AC PSU body meshes with independent perimeter relief",viewer-a/b standard/web rear and rear-quarter,PASS,"matching modules; no blank or DC PSU"
rear,IEC AC inlets,2,"8 C14 rim meshes plus exact recessed photographic inlets",viewer-a/b standard/web rear,PASS,"one per PSU"
rear,PSU release tabs,2,"2 orange release-tab meshes",viewer-a/b standard/web rear and rear-quarter,PASS,"one per PSU"
rear,PSU rear fans,2,"exact photographic fan/guard/EPP hub texture within 2 separated PSU frames",viewer-a/b standard/web rear and rear-quarter,PASS,"EPP 1100W labels visible after occlusion repair"
rear,PSU pull handles,2,"6 narrow rigid-handle members; exact photographic rigid handles retained",viewer-a/b standard/web rear and rear-quarter,PASS,"no black fabric straps"
left,side wall and rail channel,1,"independent physical-left canonical face; recessed channel and upper lip meshes",viewer-a/b standard/web left/front-left/rear-left,PASS,"front at correct physical end"
left,rail mounting studs,4,"4 physical-left stud meshes at independent Z positions",viewer-a/b standard/web left and left-quarter,PASS,"not mirrored from right"
right,side wall and rail channel,1,"independent physical-right canonical face; recessed channel and upper lip meshes",viewer-a/b standard/web right/front-right/rear-right,PASS,"Intel wing at correct physical end"
right,rail mounting studs,4,"4 physical-right stud meshes at independent Z positions",viewer-a/b standard/web right and right-quarter,PASS,"spacing differs from left"
top,removable cover,1,"closed chassis shell plus independent top canonical face",viewer-a/b standard/web top and all upper-quarter,PASS,"closed opaque body"
top,front perforation band,1,"source-locked photographic top face",viewer-a/b standard/web top/front-quarter,PASS,"fine perforation relief preserved photographically"
top,rear L-shaped vent field,1,"source-locked photographic top face",viewer-a/b standard/web top/rear-quarter,PASS,"asymmetric and not mirrored"
top,cover latch,1,"latch spine and finger-recess meshes plus locked texture",viewer-a/b standard/web top and upper-quarter,PASS,"raised relief visible"
top,Dell embossed service hatch,1,"four thin service-hatch frame meshes leaving DELL emboss/label texture visible",viewer-a/b standard/web top and front-quarter,PASS,"occlusion defect repaired"
top,factory configuration label group,1,"source-locked photographic top face",viewer-a/b standard/web top and front-quarter,PASS,"real label appearance; no invented readable serial"
bottom,conservative fallback plate,1,"closed bottom fallback canonical face and chassis shell",viewer-a/b standard/web bottom and all quarter views,PASS_WITH_BOTTOM_FALLBACK,"only side-proven edge folds; no invented underside detail"
