face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence
front,rack ears,2,1,2,"left ear; chassis; right ear",full-height,"outer edges",front-only thick release-handle geometry,black polymer/painted metal,source/originals/user-config-lock.png,verified
front,control and media zone,1,2,1,"upper control strip; DVD; lower I/O+grille",about 31% body width,"physical left",recessed ports/buttons and perforated intake,matte black plastic,https://downloads.dell.com/manuals/all-products/esuprt_ser_stor_net/esuprt_poweredge/poweredge-r720_reference-guide_en-us.pdf,verified
front,2.5-inch drive carriers,16,1,16,"bay 0 through bay 15 in one horizontal row",about 69% body width,"physical right",sixteen separate vertical recessed carriers with individual pull handles and indicator heads,black/dark gray plastic with silver handle faces,source/originals/user-config-lock.png,verified
front,factory branding,2,1,2,"DELL; PowerEdge R720",small,"upper control strip",flush/raised print and badge,silver/white,source/third-party/ebay394100550218-02-front.jpg,verified
front,front I/O,7,2,5,"power; NMI; ID; VGA; LCD buttons/display; info tag; vFlash+2 USB",small,"control zone",real recessed holes/connectors and slide-out tag,black/blue/silver,https://www.dell.com/support/manuals/en-us/poweredge-r720/720720xdom/front-panel-features-and-indicators,verified
front,bezel,0,0,0,none,none,none,absent,none,source/originals/user-config-lock.png,verified
rear,low-profile PCIe blanks,3,3,1,"slots 1;2;3",narrow horizontal,"upper physical left",three separate perforated recessed plates,galvanized silver,https://www.dell.com/support/manuals/en-us/poweredge-r720/720720xdom/back-panel-features-and-indicators,verified
rear,full-height PCIe blanks,4,2,2,"slots 4-5 center; slots 6-7 right",wide horizontal,"upper center/right",four separate perforated recessed plates with blue riser latches,galvanized silver/blue,source/originals/user-config-lock.png,verified
rear,system ID group,2,1,2,"round ID button; status connector",small,"lower far left",button and socket recess,silver/black,https://www.dell.com/support/manuals/en-us/poweredge-r720/720720xdom/back-panel-features-and-indicators,verified
rear,dedicated iDRAC7 port,1,1,1,iDRAC RJ45,small,"lower left",recessed port with teal backing,black/teal,source/originals/user-config-lock.png,verified
rear,serial VGA USB,4,1,4,"DB9 serial; VGA; USB; USB",small,"lower left-to-center",recessed connector geometry,teal/blue/black,source/originals/user-config-lock.png,verified
rear,integrated Ethernet NDC,4,1,4,"RJ45 1;2;3;4",medium,"lower center",four separate recessed RJ45 cavities with metal surrounds,silver/black,source/originals/user-config-lock.png,verified
rear,retention handle,1,1,1,central black handle,wide,"above NDC",protruding tubular U-handle,black polymer/metal,qa/reference/official-tech-guide-rear-crop.png,verified
rear,AC PSUs,2,1,2,"PSU1; PSU2",large,"lower physical right",two separately removable blocks with IEC inlet orange latch translucent handle fan grille and recessed fan,silver/black/orange,qa/reference/official-tech-guide-rear-crop.png,verified
rear,upper right vent filler,1,1,1,perforated filler,medium,"above PSU2",deep square perforation and two round holes,galvanized silver,qa/reference/official-tech-guide-rear-crop.png,verified
rear,rear drive bays,0,0,0,none,none,none,absent,none,https://www.dell.com/support/manuals/en-us/poweredge-r720/720720xdom/back-panel-features-and-indicators,verified
left,side wall,1,1,1,left wall,full face,"between front and rear",folded top/bottom hems and independent stamped rail attachment features,galvanized sheet metal,source/third-party/ebay394100550218-04-internal.jpg,verified-multi-source
left,rail J-slots and studs,4,1,4,"front to rear independent placements",small,"upper/mid side",stamped/protruding mechanical features,galvanized metal,source/pdf-pages/readyrails-b6-p01.png,verified-multi-source
right,side wall,1,1,1,right wall,full face,"between front and rear",stepped cover seam and two-height side panels,galvanized sheet metal,source/third-party/walmart-r720-side-angle.jpg,verified
right,rail J-slots and studs,4,1,4,"front to rear independent placements",small,"upper/mid side",stamped/protruding mechanical features,galvanized metal,source/pdf-pages/readyrails-b6-p02.png,verified-multi-source
top,removable cover,1,1,1,cover,full face,"main top",separate thin cover plate with folded perimeter,brushed galvanized metal,source/third-party/ebay394100550218-01-front-top.jpg,verified
top,cover latch,1,1,1,recessed black latch,small,"rear-left quadrant viewed from front",recessed handle and raised rim,black polymer/metal,source/third-party/ebay394100550218-01-front-top.jpg,verified
top,embossed Dell mark,1,1,1,DELL emboss,small,"front-left quadrant viewed from front",shallow stamped relief,galvanized metal,source/third-party/ebay394100550218-01-front-top.jpg,verified
top,front fixed strip,1,1,1,"instruction labels then long vent row",full width strip,"front edge",lower step with perforation and label panels,galvanized metal/printed labels,source/third-party/ebay394100550218-01-front-top.jpg,verified
bottom,conservative underside,1,1,1,plain panel,full face,"body footprint",closed opaque plate preserving side silhouette only,galvanized sheet metal,source/bottom-search-log.md,generic-bottom-fallback
