path,classification,claimed_model,configuration,face_or_angle,resolution,inspection_result,input_role
source/originals/user-row5-config.png,USER_CONFIGURATION_LOCK,HPE DL360G10/2.5-inch,"8SFF; no +2SFF; blank UMB; standard rear; dual AC PSU",front+rear elevation,1034x104,"Exact requested row; eight SFF positions; rear has no rear drive and blank expansion/FlexibleLOM areas",highest-priority configuration lock
source/originals/HPE-maintenance-8SFF-front-components.png,TECHNICAL_DIAGRAM,HPE ProLiant DL360 Gen10,8SFF,front orthographic,675x225,"Official diagram proves 2x4 drive layout and UMB/control ordering; callouts must not be rendered",binding geometry support
source/originals/HPE-maintenance-rear-components.png,TECHNICAL_DIAGRAM,HPE ProLiant DL360 Gen10,standard rear,rear orthographic,675x225,"Official diagram proves PCIe/PSU/VGA/NIC/iLO/serial/USB/FlexibleLOM order",binding geometry support
source/third-party/ITPro-Performance-8SFF-main.jpg,REAL_PHOTO,HPE ProLiant DL360 Gen10 867963-B21,"8SFF reviewed system; blank expansion regions; dual 500W; embedded 4x1GbE",front-bezel + straight rear,1252x704,"Rear matches user screenshot; front bezel hides SFF layout and is not used for front identity",primary rear photographic style
source/third-party/piospartslap-22257-8SFF-view2.jpg,REAL_PHOTO,HPE ProLiant DL360 Gen10,"8SFF; six installed carriers plus two blanks; same UMB and chassis",front-top three-quarter,2000x2000,"Exact family/8SFF chassis; proves material, top seams, ears, controls and carrier construction; installed-drive state differs from user lock",front/top material and geometry
source/third-party/piospartslap-22257-8SFF-view3.jpg,REAL_PHOTO,HPE ProLiant DL360 Gen10,"8SFF; front blank carriers",front-top three-quarter,2000x2000,"Exact 8SFF chassis and UMB/control region; top and ear geometry visible",front/top support
source/third-party/piospartslap-22257-8SFF-view4.jpg,REAL_PHOTO,HPE ProLiant DL360 Gen10,"8SFF; 562FLR installed; dual 500W",front-top + rear-top composite,2000x2000,"Exact chassis; rear NIC population differs from user lock, so used only for top/right material and PSU construction",top/right support
source/third-party/ebay-327204807466-view01.webp,REAL_PHOTO,HPE ProLiant DL360 Gen10 P05520-B21,8SFF,front-left three-quarter,1600x739,"Exact 8SFF carrier/blank pattern and left edge; seller background excluded",left/front geometry support
source/third-party/ebay-327204807466-view10.webp,REAL_PHOTO,HPE ProLiant DL360 Gen10 P05520-B21,"8SFF; one PCIe card installed; dual 500W",rear-right three-quarter,1600x739,"Exact chassis and side/top/PSU material; PCIe population differs and is not copied",right/top geometry support
source/originals/HPE-official-s00002840.png,OFFICIAL_RENDER,HPE ProLiant DL360 Gen10,open chassis,top orthographic,800x660,"Official HPE image proves body footprint and asymmetric front/rear relationships; open internals are not exterior delivery content",top/side geometry support
source/originals/HPE-official-s00002841.png,OFFICIAL_RENDER,HPE ProLiant DL360 Gen10,open chassis,rear-top three-quarter,800x660,"Official HPE image proves rear enclosure/PSU depth; open internals excluded",right/rear geometry support
source/pdf-pages/quickspecs-page-02.png,PDF_PAGE_RENDER,HPE ProLiant DL360 Gen10,8SFF + optional 2SFF shown,front annotated,1275x1650,"Official page proves standard 8SFF area and available UMB; optional +2SFF photo is not copied into user configuration",configuration/geometry support
source/pdf-pages/quickspecs-page-06.png,PDF_PAGE_RENDER,HPE ProLiant DL360 Gen10,standard rear,rear annotated,1275x1650,"Official page proves port order and standard rear; annotations excluded",rear geometry support
source/pdf-pages/maintenance-page-002.png,PDF_PAGE_RENDER,HPE ProLiant DL360 Gen10,8SFF,front annotated,1275x1650,"Printed page 189 inspected; proves exact eight-bay layout and UMB functions",front geometry support
source/pdf-pages/maintenance-page-011.png,PDF_PAGE_RENDER,HPE ProLiant DL360 Gen10,standard rear,rear annotated,1275x1650,"Printed page 198 inspected; proves exact rear module order",rear geometry support
source/pdf-pages/specs-page-003.png,PDF_PAGE_RENDER,HPE ProLiant DL360 Gen10,SFF chassis,dimension table,1275x1650,"Printed page 242 inspected; 42.9 x 434.6 x 707 mm",dimension authority
