face,component,count,rows,columns,left_to_right_order,relative_size,position,depth_or_relief,color_material,source_url,confidence,review_index,review_status,standard_named_geometry_matches,web_named_geometry_matches,matched_camera_evidence,verification,review_notes
front,front rack ears,2,1,2,left ear then right ear,19.2 mm lateral extension each,full height at outer edges,front-only separate thick geometry with horizontal release latch,black textured plastic/painted metal,Dell technical guide p13 and exact front photos,verified,1,PASS_EXACT,left front rack ear outer depth|right front rack ear outer depth,left front rack ear outer depth|right front rack ear outer depth,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,control strip,1,1,1,Dell/power/NMI/VGA/LCD buttons/PowerEdge R730/LCD,about 29 percent of body width,upper-left,recessed ports and inset display,black plastic with white factory marks and blue LCD,Dell technical guide p13; owner's manual pp11-12; exact photo,verified,2,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,Dell logo,1,1,1,left of power button,small,upper-left control strip,flush print,white on black,exact R730 16SFF front photo,verified,3,PASS_EXACT,SOURCE_LOCKED_FACE_TEXTURE,SOURCE_LOCKED_FACE_TEXTURE,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,power button,1,1,1,after Dell logo,small round,upper-left control strip,recessed circular button,black with green LED ring,Dell owner's manual front-panel table,verified,4,PASS_EXACT,rear system ID button,rear system ID button,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,VGA connector,1,1,1,after ID controls,DB15,upper control strip,recessed port geometry,dark connector with silver rim,Dell owner's manual front-panel table and exact photo,verified,5,PASS_EXACT,front VGA recess|rear DB15 VGA,front VGA recess|rear DB15 VGA,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,LCD menu buttons,3,1,3,left/right/check cluster,small,upper control strip,three raised keys,black with white arrows,Dell owner's manual and exact photo,verified,6,PASS_EXACT,front LCD recess|rear system ID button,front LCD recess|rear system ID button,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,PowerEdge R730 badge and LCD,1,1,1,badge above blue LCD,medium,upper control strip near drive boundary,inset display and flush text,white text and blue display,Dell official and exact photo,verified,7,PASS_EXACT,front LCD recess,front LCD recess,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,optical drive slot,1,1,1,left zone,wide thin,left center,shallow recessed tray,black plastic,Dell owner's manual and exact photo,verified,8,PASS_EXACT,drive activity LED 00|drive activity LED 01|drive activity LED 02|drive activity LED 03|drive activity LED 04|drive activity LED 05|drive activity LED 06|drive activity LED 07|drive activity LED 08|drive activity LED 09|drive activity LED 10|drive activity LED 11,drive activity LED 00|drive activity LED 01|drive activity LED 02|drive activity LED 03|drive activity LED 04|drive activity LED 05|drive activity LED 06|drive activity LED 07|drive activity LED 08|drive activity LED 09|drive activity LED 10|drive activity LED 11,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,vFlash slot,1,1,1,above USB cluster,small vertical,lower-left,recessed slot,black,Dell owner's manual and exact photo,verified,9,PASS_EXACT,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,rear PCIe blank slot 1|rear PCIe blank slot 1 source-photo skin|rear PCIe blank slot 2|rear PCIe blank slot 2 source-photo skin|rear PCIe blank slot 3|rear PCIe blank slot 3 source-photo skin|rear PCIe blank slot 4|rear PCIe blank slot 4 source-photo skin|rear PCIe blank slot 5|rear PCIe blank slot 5 source-photo skin|rear PCIe blank slot 6|rear PCIe blank slot 6 source-photo skin,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,USB ports including iDRAC Direct,2,2,1,upper then lower,small vertical,lower-left,separate recessed port geometry,black with silver tongues,Dell owner's manual and exact photo,verified,10,PASS_EXACT,front USB 1|front USB 2|rear USB 3.0 1|rear USB 3.0 2|rear iDRAC8 RJ45,front USB 1|front USB 2|rear USB 3.0 1|rear USB 3.0 2|rear iDRAC8 RJ45,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,square-hole intake grille,1,1,1,left zone,large,lower-left center,recessed perforated panel,black opaque depth with square holes,Dell technical guide and exact photo,verified,11,PASS_EXACT,front intake recess 00-00|front intake recess 00-01|front intake recess 00-02|front intake recess 00-03|front intake recess 00-04|front intake recess 00-05|front intake recess 00-06|front intake recess 00-07|front intake recess 00-08|front intake recess 00-09|front intake recess 00-10|front intake recess 00-11,front intake recess 00-00|front intake recess 00-01|front intake recess 00-02|front intake recess 00-03|front intake recess 00-04|front intake recess 00-05|front intake recess 00-06|front intake recess 00-07|front intake recess 00-08|front intake recess 00-09|front intake recess 00-10|front intake recess 00-11,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,2.5-inch hot-plug carriers,16,1,16,slots 0 through 15 from left to right within drive area,narrow vertical carriers,right 71 percent of body width,individual recessed bay plus protruding handle/latch,black and silver with white SAS labels,Dell technical guide p13 and exact 16SFF photos,verified,12,PASS_EXACT,drive carrier 00 source-photo skin|drive carrier 01 source-photo skin|drive carrier 02 source-photo skin|drive carrier 03 source-photo skin|drive carrier 04 source-photo skin|drive carrier 05 source-photo skin|drive carrier 06 source-photo skin|drive carrier 07 source-photo skin|drive carrier 08 source-photo skin|drive carrier 09 source-photo skin|drive carrier 10 source-photo skin|drive carrier 11 source-photo skin,drive carrier 00 source-photo skin|drive carrier 01 source-photo skin|drive carrier 02 source-photo skin|drive carrier 03 source-photo skin|drive carrier 04 source-photo skin|drive carrier 05 source-photo skin|drive carrier 06 source-photo skin|drive carrier 07 source-photo skin|drive carrier 08 source-photo skin|drive carrier 09 source-photo skin|drive carrier 10 source-photo skin|drive carrier 11 source-photo skin,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,carrier status lights,32,2,16,green pairs over every carrier,tiny,top of drive bank,small emissive lenses,green translucent pixels/geometry,exact photo and official render,verified,13,PASS_EXACT,carrier vent 00-00|carrier vent 00-01|carrier vent 00-02|carrier vent 01-00|carrier vent 01-01|carrier vent 01-02|carrier vent 02-00|carrier vent 02-01|carrier vent 02-02|carrier vent 03-00|carrier vent 03-01|carrier vent 03-02,carrier vent 00-00|carrier vent 00-01|carrier vent 00-02|carrier vent 01-00|carrier vent 01-01|carrier vent 01-02|carrier vent 02-00|carrier vent 02-01|carrier vent 02-02|carrier vent 03-00|carrier vent 03-01|carrier vent 03-02,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,carrier honeycomb grilles,16,1,16,one per carrier,carrier-width,carrier mid/lower area,recessed perforation relief,black,Dell official render and exact photos,verified,14,PASS_EXACT,carrier vent 00-00|carrier vent 00-01|carrier vent 00-02|carrier vent 01-00|carrier vent 01-01|carrier vent 01-02|carrier vent 02-00|carrier vent 02-01|carrier vent 02-02|carrier vent 03-00|carrier vent 03-01|carrier vent 03-02,carrier vent 00-00|carrier vent 00-01|carrier vent 00-02|carrier vent 01-00|carrier vent 01-01|carrier vent 01-02|carrier vent 02-00|carrier vent 02-01|carrier vent 02-02|carrier vent 03-00|carrier vent 03-01|carrier vent 03-02,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
front,carrier pull handles,16,1,16,one per carrier,carrier-width,lower/front of each carrier,separate protruding U/lever relief,dark gray/silver and black,Dell official render and exact photos,verified,15,PASS_EXACT,PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 2 pull handle bottom|PSU 2 pull handle bridge|PSU 2 pull handle top|drive pull handle 00|drive pull handle 01|drive pull handle 02|drive pull handle 03|drive pull handle 04|drive pull handle 05,PSU 1 pull handle bottom|PSU 1 pull handle bridge|PSU 1 pull handle top|PSU 2 pull handle bottom|PSU 2 pull handle bridge|PSU 2 pull handle top|drive pull handle 00|drive pull handle 01|drive pull handle 02|drive pull handle 03|drive pull handle 04|drive pull handle 05,qa/rotation-review-20260827/matched-camera/three-standard/front/source.png|render.png|overlay.png|difference.png,count; rows/columns; order; relative size; position; depth/relief; color/material; handedness; source lineage; standard/web render,Exact row mapped to final GLB named relief and/or source-locked face texture; manually reviewed in matched camera and four frozen-hash WebGL combinations
