path,classification,claimed_model,view_or_angle,configuration,inspection_result,intended_role
source/originals/user-config-lock-full.png,USER_REAL_SCREENSHOT,HPE DL360G9 3.5-inch,row-6 front/rear thumbnails,4LFF plus specified Gen9 rear,exact target row confirmed; no neighboring row substituted,highest-priority configuration lock
qa/reference/user-config-lock-row6.png,USER_REAL_SCREENSHOT,HPE DL360G9 3.5-inch,cropped row-6 front/rear,4LFF plus specified Gen9 rear,front and rear preserved without resampling beyond crop,configuration lock imagegen support
qa/reference/user-config-lock-row6-4x.png,PROCESSED_DERIVATIVE,HPE DL360G9 3.5-inch,upsampled inspection crop,4LFF plus specified Gen9 rear,inspection-only enlargement; not an identity/style source,inspection only
source/originals/a00020643.gif,OFFICIAL_TECHNICAL_DIAGRAM,HPE ProLiant DL360 Gen9,front orthographic,4LFF,exact four bays and optional media/control positions verified,binding front geometry
source/originals/a00020644.gif,OFFICIAL_TECHNICAL_DIAGRAM,HPE ProLiant DL360 Gen9,rear orthographic,three PCIe plus dual PSU and all I/O groups,exact order verified,binding rear geometry
source/originals/a00020645.gif,OFFICIAL_TECHNICAL_DIAGRAM,HPE ProLiant DL360 Gen9,system board top,Gen9 system board,exact board and riser connector positions verified,internal/fan placement support
source/originals/c04444778.gif,OFFICIAL_REAL_PHOTO,HPE ProLiant DL360 Gen9,open-chassis top,dual CPU with hot-plug fan row,exact fan cage and internal assembly verified,internal fan geometry support
source/third-party/newserverlife-dl360-g9-4lff.png,REAL_PHOTO,HPE ProLiant DL360 Gen9 4LFF,front-elevated near-orthographic,four installed LFF carriers,exact front identity and real material verified; seller canvas excluded,PRIMARY BINDING front identity/style
source/third-party/pios-15304-1.jpg,REAL_PHOTO,HPE ProLiant DL360 Gen9 4LFF,front-high three-quarter,empty LFF bays dual CPU chassis,exact top/front shell and material verified; empty bays not copied,PRIMARY BINDING top and left reconstruction
source/third-party/pios-15304-2.jpg,REAL_PHOTO,HPE ProLiant DL360 Gen9 4LFF,rear-high three-quarter,dual 500W PSU different two-port FlexibleLOM,exact top/rear/PSU material verified; differing FlexibleLOM excluded,PRIMARY BINDING right reconstruction and rear material
source/third-party/pios-15304-3.jpg,REAL_PHOTO,HPE ProLiant DL360 Gen9 4LFF,stacked front/rear high angles,empty bays and different FlexibleLOM,corroborates same chassis cover and depth; not primary,support only
source/third-party/servak-dl360g9-lff4.jpg,REAL_PHOTO,HPE ProLiant DL360 Gen9 4LFF,rear-high three-quarter,dual PSU different two-port FlexibleLOM,exact top/rear shell verified; seller sticker and adapter excluded,top/right/rear material support
