path,visual_origin,claimed_model,face_or_angle,configuration,inspection_result,intended_role
source/originals/user-screenshot.png,USER_SCREENSHOT,N9KC9336,front+rear thumbnails,"36 QSFP; dual AC PSU; burgundy latches","Inspected original 1006×1134. Last row is 2U and not a 1U 9336C. Rear latch pixels are burgundy/red. Resolution cannot prove printed PID alone; used as configuration lock with official/exact-unit corroboration.",binding configuration lock
source/third-party/ebay-165588009864-01.jpg,REAL_PHOTO,N9K-C9336PQ,near-front with top,"empty 36 QSFP; brackets installed","Inspected 1600×1200. Exact C9336PQ badge visible; full port side and both ears visible; seller barcode is non-factory overlay for exclusion.",primary front identity/style
source/third-party/ebay-165588009864-02.jpg,REAL_PHOTO,N9K-C9336PQ,front-right close angle,"empty 36 QSFP","Inspected 1600×986. Proves right end perforations, port pairs 15/16–35/36, top material and ear edge.",front geometry support
source/third-party/ebay-165588009864-03.jpg,REAL_PHOTO,N9K-C9336PQ,front-left close angle,"empty 36 QSFP","Inspected 1600×901. C9336PQ badge and controls visible; port pairs 1/2 onward; exact left ear and front relief.",front geometry/material support
source/third-party/ebay-165588009864-04.jpg,REAL_PHOTO,N9K-C9336PQ V02,top label close-up,"AC input declaration","Inspected 1414×1600. Exact PID V02 and factory regulatory/yellow warning labels; serial is unit-specific and will not be reproduced.",identity/top label-zone support
source/third-party/ebay-165588009864-05.jpg,REAL_PHOTO,N9K-C9336PQ,front-left three-quarter,"empty 36 QSFP; left side; top","Inspected 1600×822. Proves left side silhouette, plain cover, front bracket depth, top seams and real metal grain.",primary left/top style
source/third-party/ebay-165588009864-06.jpg,REAL_PHOTO,N9K-C9336PQ V02,direct rear,"2×N9K-PAC-1200W; 2×N9K-C9300-FAN3","Inspected 1600×619. Exact direct power side. Burgundy stripes/latches prove port-side intake. Loose black straps and seller labels are excluded.",primary rear identity/style
source/third-party/ebay-165588009864-07.jpg,REAL_PHOTO,N9K-C9336PQ V02,rear PID label close-up,"chassis V02","Inspected 1600×1300. Exact chassis PID/VID and hardware revision; serial redacted.",identity support
source/third-party/ebay-165588009864-08.jpg,REAL_PHOTO,N9K-PAC-1200W,PSU label close-up,"1200-W AC port-side intake","Inspected 1561×1600. Exact N9K-PAC-1200W V01 label, 100–240 VAC ranges and 80 Plus Platinum marking.",rear PSU identity support
source/third-party/ebay-165588009864-09.jpg,REAL_PHOTO,N9K-C9300-FAN3,fan identity stripe,"port-side intake","Inspected 1600×336. Exact burgundy N9K-C9300-FAN3 label.",rear airflow identity support
source/third-party/ebay-165588009864-10.jpg,REAL_PHOTO,N9K-C9336PQ,rear-right three-quarter,"dual AC PSU; dual intake fan","Inspected 1599×677. Proves physical right-side silhouette/notch and rear module relief. Loose straps excluded.",primary right/rear geometry support
source/pdf-pages/cisco-hig-p11.png,TECHNICAL_DOCUMENT,N9K-C9336PQ,overview,"supported fan/PSU variants","Inspected 1870×2420 render. Official identity, 2U, 36 QSFP, all exact airflow/AC PIDs.",identity and variant proof
source/pdf-pages/cisco-hig-p12.png,TECHNICAL_DIAGRAM,N9K-C9336PQ,front+rear three-quarter line art,"AC shown; two fans","Inspected 1870×2420 render. Official callouts for ports, controls, brackets, side holes/notches, PSUs and fans.",geometry support
source/pdf-pages/cisco-hig-p13.png,TECHNICAL_DOCUMENT,N9K-C9336PQ,ports/fans/PSU text,"homogeneous airflow required","Inspected 1870×2420 render. Confirms port numbering and required matching airflow direction.",configuration proof
